time,cmd_roll,true_roll,eskf_roll,est_error,altitude
0.0000,0.000,0.000,0.017,-0.017,0.5000
0.0050,0.000,0.011,-0.031,0.042,0.5000
0.0100,0.000,0.037,-0.030,0.067,0.5000
0.0150,0.000,0.039,-0.044,0.084,0.4999
0.0200,0.000,0.081,-0.054,0.135,0.4998
0.0250,0.000,0.153,-0.048,0.201,0.4996
0.0300,0.000,0.209,-0.056,0.265,0.4994
0.0350,0.000,0.262,0.523,-0.261,0.4991
0.0400,0.000,0.267,0.514,-0.247,0.4988
0.0450,0.000,0.246,0.500,-0.255,0.4984
0.0500,0.000,0.209,0.429,-0.221,0.4979
0.0550,0.000,0.213,0.372,-0.160,0.4975
0.0600,0.000,0.239,0.350,-0.112,0.4971
0.0650,0.000,0.232,0.430,-0.199,0.4966
0.0700,0.000,0.194,0.435,-0.241,0.4961
0.0750,0.000,0.154,0.386,-0.232,0.4957
0.0800,0.000,0.162,0.358,-0.196,0.4952
0.0850,0.000,0.142,0.382,-0.240,0.4947
0.0900,0.000,0.039,0.363,-0.324,0.4943
0.0950,0.000,-0.062,0.375,-0.437,0.4938
0.1000,0.000,-0.224,1.518,-1.742,0.4934
0.1050,0.000,-0.423,1.449,-1.872,0.4929
0.1100,0.000,-0.572,1.319,-1.891,0.4924
0.1150,0.000,-0.618,1.199,-1.818,0.4919
0.1200,0.000,-0.623,1.135,-1.758,0.4913
0.1250,0.000,-0.647,1.072,-1.719,0.4906
0.1300,0.000,-0.688,0.731,-1.420,0.4899
0.1350,0.000,-0.773,0.712,-1.485,0.4891
0.1400,0.000,-0.897,0.649,-1.546,0.4883
0.1450,0.000,-0.997,0.574,-1.571,0.4874
0.1500,0.000,-1.062,0.493,-1.555,0.4866
0.1550,0.000,-1.086,0.403,-1.489,0.4857
0.1600,0.000,-1.030,0.371,-1.401,0.4848
0.1650,0.000,-0.960,0.579,-1.539,0.4840
0.1700,0.000,-0.890,0.584,-1.474,0.4831
0.1750,0.000,-0.885,0.636,-1.520,0.4822
0.1800,0.000,-1.010,0.614,-1.624,0.4813
0.1850,0.000,-1.098,0.504,-1.601,0.4803
0.1900,0.000,-1.094,0.464,-1.558,0.4793
0.1950,0.000,-1.156,0.955,-2.110,0.4782
0.2000,0.000,-1.242,0.891,-2.133,0.4770
0.2050,0.000,-1.355,0.873,-2.229,0.4758
0.2100,0.000,-1.517,0.820,-2.336,0.4746
0.2150,0.000,-1.647,0.851,-2.498,0.4734
0.2200,0.000,-1.775,0.781,-2.557,0.4722
0.2250,0.000,-1.911,0.695,-2.606,0.4710
0.2300,0.000,-2.052,0.228,-2.280,0.4698
0.2350,0.000,-2.166,0.128,-2.294,0.4687
0.2400,0.000,-2.261,0.086,-2.347,0.4675
0.2450,0.000,-2.403,-0.026,-2.377,0.4664
0.2500,0.000,-2.482,-0.244,-2.238,0.4652
0.2550,0.000,-2.399,-0.645,-1.754,0.4641
0.2600,0.000,-2.241,-0.650,-1.591,0.4629
0.2650,0.000,-2.111,-0.447,-1.664,0.4618
0.2700,0.000,-2.108,-0.282,-1.826,0.4607
0.2750,0.000,-2.121,-0.271,-1.850,0.4596
0.2800,0.000,-2.152,-0.256,-1.896,0.4585
0.2850,0.000,-2.203,-0.233,-1.970,0.4575
0.2900,0.000,-2.296,-0.182,-2.114,0.4564
0.2950,0.000,-2.451,-0.551,-1.900,0.4555
0.3000,0.000,-2.555,-0.658,-1.897,0.4545
0.3050,0.000,-2.547,-0.689,-1.858,0.4535
0.3100,0.000,-2.486,-0.456,-2.030,0.4526
0.3150,0.000,-2.460,-0.374,-2.086,0.4517
0.3200,0.000,-2.533,-0.288,-2.245,0.4509
0.3250,0.000,-2.692,-0.267,-2.425,0.4500
0.3300,0.000,-2.853,-0.346,-2.506,0.4492
0.3350,0.000,-2.939,-0.501,-2.438,0.4484
0.3400,0.000,-2.892,-0.649,-2.243,0.4477
0.3450,0.000,-2.759,-0.720,-2.039,0.4470
0.3500,0.000,-2.589,-0.774,-1.814,0.4463
0.3550,0.000,-2.404,-0.821,-1.582,0.4457
0.3600,0.000,-2.223,-1.247,-0.976,0.4452
0.3650,0.000,-2.113,-1.197,-0.916,0.4446
0.3700,0.000,-2.037,-1.109,-0.928,0.4441
0.3750,0.000,-2.016,-1.008,-1.007,0.4435
0.3800,0.000,-1.986,-0.893,-1.093,0.4429
0.3850,0.000,-2.000,-0.818,-1.182,0.4421
0.3900,0.000,-2.048,0.638,-2.685,0.4413
0.3950,0.000,-2.119,0.647,-2.767,0.4404
0.4000,0.000,-2.231,0.643,-2.874,0.4395
0.4050,0.000,-2.417,0.609,-3.025,0.4385
0.4100,0.000,-2.642,0.502,-3.144,0.4375
0.4150,0.000,-2.819,0.369,-3.189,0.4365
0.4200,0.000,-2.933,0.366,-3.299,0.4355
0.4250,0.000,-2.996,-0.089,-2.907,0.4346
0.4300,0.000,-3.038,-0.178,-2.860,0.4337
0.4350,0.000,-3.027,-0.237,-2.790,0.4328
0.4400,0.000,-2.977,-0.267,-2.710,0.4319
0.4450,0.000,-2.847,-0.317,-2.530,0.4311
0.4500,0.000,-2.640,-0.217,-2.423,0.4303
0.4550,0.000,-2.410,0.294,-2.703,0.4294
0.4600,0.000,-2.127,0.530,-2.658,0.4286
0.4650,0.000,-1.939,0.729,-2.668,0.4279
0.4700,0.000,-1.810,0.918,-2.728,0.4271
0.4750,0.000,-1.794,1.078,-2.872,0.4263
0.4800,0.000,-1.897,1.158,-3.055,0.4256
0.4850,0.000,-2.041,1.089,-3.130,0.4248
0.4900,0.000,-2.134,1.135,-3.269,0.4241
0.4950,0.000,-2.182,1.066,-3.248,0.4234
0.5000,0.000,-2.239,1.047,-3.286,0.4227
0.5050,0.000,-2.363,0.983,-3.346,0.4220
0.5100,0.000,-2.516,0.965,-3.481,0.4213
0.5150,0.000,-2.752,0.900,-3.652,0.4207
0.5200,0.000,-2.997,0.816,-3.812,0.4201
0.5250,0.000,-3.180,0.154,-3.334,0.4195
0.5300,0.000,-3.291,0.032,-3.323,0.4188
0.5350,0.000,-3.364,-0.180,-3.184,0.4182
0.5400,0.000,-3.369,-0.242,-3.127,0.4176
0.5450,0.000,-3.338,-0.303,-3.034,0.4170
0.5500,0.000,-3.242,-0.324,-2.918,0.4164
0.5550,0.000,-3.119,-0.249,-2.870,0.4158
0.5600,0.000,-3.037,-0.163,-2.873,0.4152
0.5650,0.000,-3.032,0.104,-3.136,0.4146
0.5700,0.000,-3.098,0.293,-3.391,0.4140
0.5750,0.000,-3.180,0.301,-3.481,0.4135
0.5800,0.000,-3.238,0.278,-3.516,0.4129
0.5850,0.000,-3.286,0.202,-3.488,0.4123
0.5900,0.000,-3.377,0.188,-3.565,0.4118
0.5950,0.000,-3.430,0.141,-3.571,0.4113
0.6000,0.000,-3.376,0.128,-3.504,0.4107
0.6050,0.000,-3.291,0.077,-3.368,0.4102
0.6100,0.000,-3.179,0.105,-3.285,0.4097
0.6150,0.000,-3.080,0.114,-3.194,0.4092
0.6200,0.000,-2.968,0.162,-3.130,0.4087
0.6250,0.000,-2.884,0.184,-3.068,0.4082
0.6300,0.000,-2.756,0.202,-2.958,0.4077
0.6350,0.000,-2.600,0.283,-2.883,0.4072
0.6400,0.000,-2.527,0.399,-2.926,0.4067
0.6450,0.000,-2.564,0.459,-3.023,0.4062
0.6500,0.000,-2.634,0.249,-2.883,0.4058
