time,cmd_roll,true_roll,eskf_roll,est_error,altitude
0.0000,0.000,0.000,0.014,-0.014,0.5000
0.0050,0.000,0.007,-0.025,0.032,0.5000
0.0100,0.000,0.027,-0.020,0.047,0.4999
0.0150,0.000,0.053,-0.024,0.077,0.4998
0.0200,0.000,0.104,-0.033,0.137,0.4995
0.0250,0.000,0.169,-0.028,0.197,0.4991
0.0300,0.000,0.217,-0.019,0.236,0.4985
0.0350,0.000,0.260,0.477,-0.217,0.4978
0.0400,0.000,0.286,0.487,-0.201,0.4970
0.0450,0.000,0.299,0.498,-0.199,0.4961
0.0500,0.000,0.295,0.468,-0.173,0.4950
0.0550,0.000,0.308,0.442,-0.134,0.4939
0.0600,0.000,0.318,0.433,-0.115,0.4928
0.0650,0.000,0.286,0.429,-0.143,0.4915
0.0700,0.000,0.219,0.417,-0.198,0.4902
0.0750,0.000,0.151,0.352,-0.200,0.4889
0.0800,0.000,0.142,0.308,-0.166,0.4876
0.0850,0.000,0.127,0.319,-0.193,0.4862
0.0900,0.000,0.045,0.299,-0.255,0.4849
0.0950,0.000,-0.038,0.314,-0.352,0.4835
0.1000,0.000,-0.198,1.195,-1.393,0.4821
0.1050,0.000,-0.408,1.122,-1.530,0.4807
0.1100,0.000,-0.571,0.984,-1.556,0.4793
0.1150,0.000,-0.633,0.854,-1.486,0.4778
0.1200,0.000,-0.640,0.782,-1.422,0.4763
0.1250,0.000,-0.652,0.719,-1.370,0.4748
0.1300,0.000,-0.670,0.574,-1.244,0.4731
0.1350,0.000,-0.731,0.571,-1.302,0.4715
0.1400,0.000,-0.839,0.523,-1.362,0.4698
0.1450,0.000,-0.931,0.462,-1.392,0.4680
0.1500,0.000,-0.994,0.390,-1.384,0.4663
0.1550,0.000,-1.020,0.338,-1.358,0.4646
0.1600,0.000,-0.963,0.403,-1.366,0.4630
0.1650,0.000,-0.885,0.534,-1.419,0.4613
0.1700,0.000,-0.797,0.934,-1.731,0.4596
0.1750,0.000,-0.779,1.250,-2.029,0.4580
0.1800,0.000,-0.919,1.242,-2.162,0.4563
