time,cmd_roll,true_roll,eskf_roll,error,altitude
0.0000,0.000,0.000,0.015,0.000,0.5000
0.0050,0.000,0.009,-0.025,0.009,0.5000
0.0100,0.000,0.042,-0.014,0.042,0.4999
0.0150,0.000,0.074,-0.014,0.074,0.4998
0.0200,0.000,0.127,-0.021,0.127,0.4995
0.0250,0.000,0.192,-0.015,0.192,0.4992
0.0300,0.000,0.236,-0.009,0.236,0.4987
0.0350,0.000,0.277,0.494,0.277,0.4980
0.0400,0.000,0.303,0.502,0.303,0.4973
0.0450,0.000,0.317,0.511,0.317,0.4964
0.0500,0.000,0.315,0.478,0.315,0.4955
0.0550,0.000,0.333,0.452,0.333,0.4945
0.0600,0.000,0.350,0.445,0.350,0.4935
0.0650,0.000,0.324,0.464,0.324,0.4924
0.0700,0.000,0.259,0.456,0.259,0.4913
0.0750,0.000,0.190,0.392,0.190,0.4901
0.0800,0.000,0.178,0.348,0.178,0.4890
0.0850,0.000,0.157,0.358,0.157,0.4878
0.0900,0.000,0.066,0.335,0.066,0.4866
0.0950,0.000,-0.024,0.346,-0.024,0.4854
0.1000,0.000,-0.189,1.320,-0.189,0.4843
0.1050,0.000,-0.403,1.243,-0.403,0.4831
0.1100,0.000,-0.570,1.102,-0.570,0.4818
0.1150,0.000,-0.634,0.968,-0.634,0.4806
0.1200,0.000,-0.644,0.893,-0.644,0.4793
0.1250,0.000,-0.661,0.825,-0.661,0.4779
0.1300,0.000,-0.687,0.608,-0.687,0.4765
0.1350,0.000,-0.754,0.599,-0.754,0.4750
0.1400,0.000,-0.866,0.546,-0.866,0.4735
0.1450,0.000,-0.960,0.480,-0.960,0.4720
0.1500,0.000,-1.025,0.405,-1.025,0.4705
0.1550,0.000,-1.051,0.344,-1.051,0.4690
0.1600,0.000,-0.996,0.434,-0.996,0.4675
0.1650,0.000,-0.917,0.581,-0.917,0.4660
0.1700,0.000,-0.828,0.893,-0.828,0.4646
0.1750,0.000,-0.810,1.143,-0.810,0.4631
0.1800,0.000,-0.949,1.133,-0.949,0.4616
0.1850,0.000,-1.061,1.011,-1.061,0.4601
0.1900,0.000,-1.084,0.957,-1.084,0.4585
0.1950,0.000,-1.186,1.225,-1.186,0.4569
0.2000,0.000,-1.322,1.129,-1.322,0.4553
0.2050,0.000,-1.480,1.269,-1.480,0.4536
0.2100,0.000,-1.682,1.445,-1.682,0.4520
0.2150,0.000,-1.852,1.614,-1.852,0.4503
0.2200,0.000,-2.022,1.583,-2.022,0.4487
0.2250,0.000,-2.202,1.407,-2.202,0.4471
0.2300,0.000,-2.394,1.119,-2.394,0.4455
0.2350,0.000,-2.572,0.971,-2.572,0.4439
0.2400,0.000,-2.738,0.870,-2.738,0.4424
0.2450,0.000,-2.952,0.684,-2.952,0.4409
0.2500,0.000,-3.103,0.410,-3.103,0.4394
0.2550,0.000,-3.094,0.173,-3.094,0.4379
0.2600,0.000,-3.011,0.025,-3.011,0.4365
0.2650,0.000,-2.951,0.061,-2.951,0.4350
0.2700,0.000,-3.005,0.118,-3.005,0.4336
0.2750,0.000,-3.067,0.073,-3.067,0.4322
0.2800,0.000,-3.145,0.045,-3.145,0.4309
0.2850,0.000,-3.241,0.013,-3.241,0.4295
0.2900,0.000,-3.373,-0.001,-3.373,0.4282
0.2950,0.000,-3.563,-0.138,-3.563,0.4270
0.3000,0.000,-3.704,-0.279,-3.704,0.4258
0.3050,0.000,-3.726,-0.290,-3.726,0.4246
0.3100,0.000,-3.691,-0.304,-3.691,0.4234
0.3150,0.000,-3.679,-0.250,-3.679,0.4223
0.3200,0.000,-3.764,-0.182,-3.764,0.4212
0.3250,0.000,-3.936,-0.231,-3.936,0.4202
0.3300,0.000,-4.112,-0.327,-4.112,0.4192
0.3350,0.000,-4.213,-0.499,-4.213,0.4182
0.3400,0.000,-4.178,-0.663,-4.178,0.4172
