time,cmd_roll,true_roll,eskf_roll,est_error,altitude
0.0000,0.000,0.000,0.015,-0.015,0.5000
0.0050,0.000,0.012,-0.026,0.038,0.5000
0.0100,0.000,0.046,-0.014,0.060,0.4999
0.0150,0.000,0.064,-0.019,0.082,0.4998
0.0200,0.000,0.108,-0.036,0.144,0.4996
0.0250,0.000,0.175,-0.038,0.213,0.4993
0.0300,0.000,0.222,-0.038,0.260,0.4989
0.0350,0.000,0.271,0.522,-0.251,0.4984
0.0400,0.000,0.296,0.527,-0.231,0.4978
0.0450,0.000,0.305,0.532,-0.228,0.4971
0.0500,0.000,0.297,0.491,-0.194,0.4964
0.0550,0.000,0.313,0.458,-0.145,0.4956
0.0600,0.000,0.333,0.449,-0.116,0.4947
0.0650,0.000,0.311,0.489,-0.178,0.4939
0.0700,0.000,0.251,0.484,-0.233,0.4930
0.0750,0.000,0.185,0.422,-0.237,0.4921
0.0800,0.000,0.172,0.378,-0.206,0.4912
0.0850,0.000,0.145,0.388,-0.243,0.4903
0.0900,0.000,0.044,0.361,-0.317,0.4893
0.0950,0.000,-0.053,0.368,-0.421,0.4884
0.1000,0.000,-0.217,1.428,-1.645,0.4875
0.1050,0.000,-0.425,1.353,-1.778,0.4866
0.1100,0.000,-0.584,1.215,-1.799,0.4856
0.1150,0.000,-0.641,1.086,-1.727,0.4846
0.1200,0.000,-0.651,1.014,-1.665,0.4836
0.1250,0.000,-0.672,0.947,-1.619,0.4824
0.1300,0.000,-0.705,0.662,-1.367,0.4813
0.1350,0.000,-0.781,0.647,-1.428,0.4801
0.1400,0.000,-0.898,0.589,-1.488,0.4788
0.1450,0.000,-0.995,0.519,-1.515,0.4775
0.1500,0.000,-1.061,0.441,-1.502,0.4763
0.1550,0.000,-1.087,0.367,-1.455,0.4750
0.1600,0.000,-1.032,0.410,-1.442,0.4737
0.1650,0.000,-0.956,0.593,-1.548,0.4725
0.1700,0.000,-0.872,0.679,-1.551,0.4712
0.1750,0.000,-0.858,0.796,-1.654,0.4700
0.1800,0.000,-0.988,0.778,-1.766,0.4687
0.1850,0.000,-1.083,0.664,-1.747,0.4674
0.1900,0.000,-1.086,0.622,-1.708,0.4660
0.1950,0.000,-1.163,1.059,-2.222,0.4646
0.2000,0.000,-1.273,0.983,-2.255,0.4631
0.2050,0.000,-1.410,0.998,-2.407,0.4617
0.2100,0.000,-1.592,1.166,-2.758,0.4602
0.2150,0.000,-1.745,1.654,-3.399,0.4587
0.2200,0.000,-1.910,1.578,-3.488,0.4572
0.2250,0.000,-2.093,1.443,-3.536,0.4557
0.2300,0.000,-2.292,1.079,-3.371,0.4543
0.2350,0.000,-2.473,0.929,-3.402,0.4529
0.2400,0.000,-2.637,0.828,-3.465,0.4515
0.2450,0.000,-2.846,0.656,-3.502,0.4501
0.2500,0.000,-2.991,0.380,-3.372,0.4487
0.2550,0.000,-2.974,0.052,-3.026,0.4474
0.2600,0.000,-2.879,-0.093,-2.786,0.4460
0.2650,0.000,-2.805,-0.042,-2.763,0.4447
0.2700,0.000,-2.846,0.137,-2.983,0.4434
0.2750,0.000,-2.895,0.100,-2.996,0.4421
0.2800,0.000,-2.960,0.075,-3.034,0.4409
0.2850,0.000,-3.043,0.055,-3.098,0.4396
0.2900,0.000,-3.165,0.056,-3.222,0.4384
0.2950,0.000,-3.350,-0.133,-3.217,0.4373
0.3000,0.000,-3.488,-0.267,-3.221,0.4362
0.3050,0.000,-3.512,-0.261,-3.251,0.4351
0.3100,0.000,-3.480,-0.229,-3.252,0.4340
0.3150,0.000,-3.475,-0.176,-3.299,0.4329
0.3200,0.000,-3.564,-0.112,-3.452,0.4319
0.3250,0.000,-3.739,-0.177,-3.562,0.4309
0.3300,0.000,-3.917,-0.275,-3.641,0.4300
0.3350,0.000,-4.019,-0.449,-3.570,0.4291
0.3400,0.000,-3.986,-0.615,-3.371,0.4282
0.3450,0.000,-3.867,-0.711,-3.157,0.4274
0.3500,0.000,-3.713,-0.788,-2.925,0.4266
0.3550,0.000,-3.538,-0.850,-2.688,0.4259
0.3600,0.000,-3.361,-1.216,-2.146,0.4252
0.3650,0.000,-3.247,-1.171,-2.076,0.4245
0.3700,0.000,-3.168,-1.085,-2.083,0.4239
0.3750,0.000,-3.158,-1.001,-2.157,0.4232
0.3800,0.000,-3.142,-0.741,-2.401,0.4224
0.3850,0.000,-3.170,-0.661,-2.509,0.4216
0.3900,0.000,-3.232,0.720,-3.951,0.4207
0.3950,0.000,-3.317,0.720,-4.036,0.4197
0.4000,0.000,-3.443,0.705,-4.148,0.4187
0.4050,0.000,-3.651,0.657,-4.308,0.4177
0.4100,0.000,-3.909,0.530,-4.439,0.4166
0.4150,0.000,-4.114,0.374,-4.489,0.4155
0.4200,0.000,-4.246,0.303,-4.549,0.4145
0.4250,0.000,-4.316,-0.157,-4.159,0.4135
0.4300,0.000,-4.365,-0.259,-4.106,0.4125
0.4350,0.000,-4.361,-0.328,-4.032,0.4116
0.4400,0.000,-4.313,-0.366,-3.947,0.4107
0.4450,0.000,-4.181,-0.421,-3.760,0.4098
0.4500,0.000,-3.974,-0.324,-3.650,0.4089
0.4550,0.000,-3.740,0.189,-3.929,0.4081
0.4600,0.000,-3.449,0.448,-3.897,0.4072
0.4650,0.000,-3.245,0.655,-3.900,0.4064
0.4700,0.000,-3.093,0.857,-3.950,0.4056
0.4750,0.000,-3.052,1.034,-4.086,0.4048
0.4800,0.000,-3.141,1.131,-4.272,0.4040
0.4850,0.000,-3.279,1.037,-4.316,0.4032
0.4900,0.000,-3.376,1.050,-4.425,0.4024
0.4950,0.000,-3.431,0.983,-4.414,0.4017
0.5000,0.000,-3.494,0.963,-4.457,0.4010
0.5050,0.000,-3.617,0.898,-4.516,0.4003
0.5100,0.000,-3.765,0.883,-4.647,0.3996
0.5150,0.000,-3.991,0.823,-4.814,0.3989
0.5200,0.000,-4.222,0.753,-4.975,0.3983
0.5250,0.000,-4.390,-0.108,-4.282,0.3976
0.5300,0.000,-4.478,-0.209,-4.269,0.3970
0.5350,0.000,-4.521,-0.395,-4.126,0.3964
0.5400,0.000,-4.492,-0.430,-4.062,0.3958
0.5450,0.000,-4.433,-0.465,-3.968,0.3951
0.5500,0.000,-4.318,-0.463,-3.855,0.3945
0.5550,0.000,-4.181,-0.432,-3.749,0.3939
0.5600,0.000,-4.087,-0.331,-3.756,0.3933
0.5650,0.000,-4.074,-0.140,-3.934,0.3927
0.5700,0.000,-4.133,-0.007,-4.126,0.3921
0.5750,0.000,-4.202,0.017,-4.219,0.3916
0.5800,0.000,-4.251,0.019,-4.270,0.3910
0.5850,0.000,-4.293,0.014,-4.308,0.3905
0.5900,0.000,-4.382,-0.040,-4.342,0.3900
0.5950,0.000,-4.434,-0.089,-4.344,0.3894
0.6000,0.000,-4.374,-0.102,-4.272,0.3889
