time,cmd_roll,true_roll,eskf_roll,error,altitude
0.0000,0.000,0.000,0.013,0.000,0.5000
0.0050,0.000,0.007,-0.026,0.007,0.5000
0.0100,0.000,0.027,-0.021,0.027,0.4999
0.0150,0.000,0.053,-0.025,0.053,0.4998
0.0200,0.000,0.104,-0.034,0.104,0.4995
0.0250,0.000,0.169,-0.029,0.169,0.4991
0.0300,0.000,0.218,-0.020,0.218,0.4985
0.0350,0.000,0.259,0.527,0.259,0.4978
0.0400,0.000,0.279,0.536,0.279,0.4970
0.0450,0.000,0.281,0.541,0.281,0.4961
0.0500,0.000,0.266,0.504,0.266,0.4950
0.0550,0.000,0.268,0.471,0.268,0.4939
0.0600,0.000,0.269,0.453,0.269,0.4927
0.0650,0.000,0.231,0.426,0.231,0.4914
0.0700,0.000,0.161,0.407,0.161,0.4901
0.0750,0.000,0.093,0.338,0.093,0.4887
0.0800,0.000,0.084,0.292,0.084,0.4873
0.0850,0.000,0.071,0.301,0.071,0.4859
0.0900,0.000,-0.007,0.281,-0.007,0.4845
0.0950,0.000,-0.085,0.296,-0.085,0.4830
0.1000,0.000,-0.241,1.111,-0.241,0.4815
0.1050,0.000,-0.445,1.040,-0.445,0.4800
0.1100,0.000,-0.601,0.907,-0.601,0.4785
0.1150,0.000,-0.656,0.782,-0.656,0.4770
0.1200,0.000,-0.659,0.715,-0.659,0.4753
0.1250,0.000,-0.666,0.656,-0.666,0.4737
0.1300,0.000,-0.680,0.558,-0.680,0.4719
0.1350,0.000,-0.737,0.559,-0.737,0.4701
0.1400,0.000,-0.842,0.515,-0.842,0.4683
0.1450,0.000,-0.933,0.456,-0.933,0.4665
0.1500,0.000,-0.995,0.386,-0.995,0.4647
0.1550,0.000,-1.021,0.332,-1.021,0.4629
0.1600,0.000,-0.964,0.404,-0.964,0.4611
0.1650,0.000,-0.885,0.515,-0.885,0.4593
0.1700,0.000,-0.795,0.915,-0.795,0.4575
0.1750,0.000,-0.775,1.232,-0.775,0.4558
0.1800,0.000,-0.914,1.227,-0.914,0.4540
0.1850,0.000,-1.029,1.103,-1.029,0.4522
0.1900,0.000,-1.058,1.046,-1.058,0.4503
0.1950,0.000,-1.167,1.304,-1.167,0.4485
0.2000,0.000,-1.308,1.210,-1.308,0.4466
0.2050,0.000,-1.471,1.450,-1.471,0.4446
0.2100,0.000,-1.680,1.397,-1.680,0.4427
0.2150,0.000,-1.857,1.357,-1.857,0.4408
0.2200,0.000,-2.028,1.274,-2.028,0.4389
0.2250,0.000,-2.202,1.044,-2.202,0.4370
0.2300,0.000,-2.381,0.734,-2.381,0.4352
0.2350,0.000,-2.544,0.597,-2.544,0.4334
0.2400,0.000,-2.690,0.528,-2.690,0.4317
0.2450,0.000,-2.881,0.396,-2.881,0.4299
0.2500,0.000,-3.012,0.137,-3.012,0.4282
0.2550,0.000,-2.988,-0.066,-2.988,0.4265
0.2600,0.000,-2.892,-0.200,-2.892,0.4249
0.2650,0.000,-2.820,-0.149,-2.820,0.4232
0.2700,0.000,-2.863,-0.120,-2.863,0.4216
0.2750,0.000,-2.914,-0.148,-2.914,0.4200
0.2800,0.000,-2.982,-0.158,-2.982,0.4185
0.2850,0.000,-3.067,-0.179,-3.067,0.4170
0.2900,0.000,-3.189,-0.186,-3.189,0.4155
0.2950,0.000,-3.369,-0.319,-3.369,0.4141
0.3000,0.000,-3.497,-0.449,-3.497,0.4127
0.3050,0.000,-3.507,-0.510,-3.507,0.4113
0.3100,0.000,-3.459,-0.523,-3.459,0.4100
0.3150,0.000,-3.434,-0.456,-3.434,0.4088
0.3200,0.000,-3.504,-0.373,-3.504,0.4075
0.3250,0.000,-3.664,-0.379,-3.664,0.4063
0.3300,0.000,-3.830,-0.462,-3.830,0.4052
0.3350,0.000,-3.923,-0.624,-3.923,0.4041
0.3400,0.000,-3.880,-0.780,-3.880,0.4030
0.3450,0.000,-3.749,-0.871,-3.749,0.4020
0.3500,0.000,-3.580,-0.949,-3.580,0.4010
0.3550,0.000,-3.385,-0.998,-3.385,0.4001
0.3600,0.000,-3.183,-1.403,-3.183,0.3993
0.3650,0.000,-3.033,-1.334,-3.033,0.3984
0.3700,0.000,-2.922,-1.220,-2.922,0.3976
0.3750,0.000,-2.894,-1.129,-2.894,0.3968
0.3800,0.000,-2.870,-0.995,-2.870,0.3959
0.3850,0.000,-2.903,-0.709,-2.903,0.3949
0.3900,0.000,-2.977,0.610,-2.977,0.3939
0.3950,0.000,-3.073,0.610,-3.073,0.3928
0.4000,0.000,-3.208,0.594,-3.208,0.3917
0.4050,0.000,-3.427,0.543,-3.427,0.3906
0.4100,0.000,-3.701,0.407,-3.701,0.3894
0.4150,0.000,-3.925,0.240,-3.925,0.3883
0.4200,0.000,-4.071,0.124,-4.071,0.3871
0.4250,0.000,-4.145,-0.339,-4.145,0.3861
0.4300,0.000,-4.194,-0.448,-4.194,0.3850
0.4350,0.000,-4.186,-0.520,-4.186,0.3840
0.4400,0.000,-4.130,-0.557,-4.130,0.3830
0.4450,0.000,-3.985,-0.607,-3.985,0.3821
0.4500,0.000,-3.761,-0.500,-3.761,0.3812
0.4550,0.000,-3.506,-0.189,-3.506,0.3802
0.4600,0.000,-3.181,0.152,-3.181,0.3793
0.4650,0.000,-2.935,0.387,-2.935,0.3785
0.4700,0.000,-2.738,0.624,-2.738,0.3776
0.4750,0.000,-2.656,0.842,-2.656,0.3767
0.4800,0.000,-2.718,0.974,-2.718,0.3759
0.4850,0.000,-2.840,0.828,-2.840,0.3751
0.4900,0.000,-2.930,0.825,-2.930,0.3743
0.4950,0.000,-2.982,0.771,-2.982,0.3736
0.5000,0.000,-3.037,0.764,-3.037,0.3728
0.5050,0.000,-3.148,0.711,-3.148,0.3721
0.5100,0.000,-3.280,0.710,-3.280,0.3714
0.5150,0.000,-3.492,0.665,-3.492,0.3707
0.5200,0.000,-3.711,0.600,-3.711,0.3701
0.5250,0.000,-3.862,-0.116,-3.862,0.3694
0.5300,0.000,-3.935,-0.198,-3.935,0.3688
0.5350,0.000,-3.969,-0.311,-3.969,0.3682
0.5400,0.000,-3.930,-0.330,-3.930,0.3676
0.5450,0.000,-3.869,-0.357,-3.869,0.3669
0.5500,0.000,-3.757,-0.352,-3.757,0.3663
0.5550,0.000,-3.623,-0.351,-3.623,0.3657
0.5600,0.000,-3.534,-0.251,-3.534,0.3652
0.5650,0.000,-3.526,-0.109,-3.526,0.3646
0.5700,0.000,-3.589,-0.012,-3.589,0.3641
0.5750,0.000,-3.659,0.013,-3.659,0.3635
0.5800,0.000,-3.709,0.019,-3.709,0.3630
0.5850,0.000,-3.756,0.041,-3.756,0.3625
0.5900,0.000,-3.850,-0.128,-3.850,0.3620
0.5950,0.000,-3.907,-0.186,-3.907,0.3616
0.6000,0.000,-3.847,-0.207,-3.847,0.3611
0.6050,0.000,-3.740,-0.206,-3.740,0.3607
0.6100,0.000,-3.590,-0.156,-3.590,0.3603
0.6150,0.000,-3.447,-0.116,-3.447,0.3599
0.6200,0.000,-3.293,-0.034,-3.293,0.3595
0.6250,0.000,-3.170,0.021,-3.170,0.3591
0.6300,0.000,-3.003,0.074,-3.003,0.3587
0.6350,0.000,-2.811,0.190,-2.811,0.3583
0.6400,0.000,-2.710,0.340,-2.710,0.3580
0.6450,0.000,-2.731,0.428,-2.731,0.3577
0.6500,0.000,-2.797,0.218,-2.797,0.3573
0.6550,0.000,-2.892,0.254,-2.892,0.3570
0.6600,0.000,-3.031,0.203,-3.031,0.3567
0.6650,0.000,-3.148,-0.049,-3.148,0.3565
0.6700,0.000,-3.210,-0.167,-3.210,0.3562
0.6750,0.000,-3.169,-0.269,-3.169,0.3561
0.6800,0.000,-3.044,-0.289,-3.044,0.3560
0.6850,0.000,-2.920,0.007,-2.920,0.3559
0.6900,0.000,-2.854,0.103,-2.854,0.3559
0.6950,0.000,-2.818,0.142,-2.818,0.3560
0.7000,0.000,-2.765,0.163,-2.765,0.3560
0.7050,0.000,-2.701,0.210,-2.701,0.3561
0.7100,0.000,-2.642,0.221,-2.642,0.3563
0.7150,0.000,-2.529,0.090,-2.529,0.3564
0.7200,0.000,-2.334,0.125,-2.334,0.3566
0.7250,0.000,-2.172,0.176,-2.172,0.3567
0.7300,0.000,-2.071,0.129,-2.071,0.3569
0.7350,0.000,-1.980,0.163,-1.980,0.3571
0.7400,0.000,-1.910,0.194,-1.910,0.3574
0.7450,0.000,-1.885,0.238,-1.885,0.3577
0.7500,0.000,-1.930,0.429,-1.930,0.3580
