time,phase,true_roll,true_pitch,true_alt,est_roll,est_pitch,est_alt,thrust,gust
2.000,1,0.000,0.000,0.0150,0.000,0.000,0.0150,0.4628,0
2.020,1,0.000,0.000,0.0150,0.000,0.000,0.0150,0.4650,0
2.040,1,0.000,0.000,0.0150,0.000,0.000,0.0150,0.4671,0
2.060,1,0.000,0.000,0.0151,0.000,0.000,0.0151,0.4666,0
2.080,1,0.000,0.000,0.0157,0.000,0.000,0.0157,0.4609,0
2.100,1,0.000,0.000,0.0171,0.000,0.000,0.0171,0.4533,0
2.120,1,0.000,0.000,0.0195,0.000,0.000,0.0195,0.4454,0
2.140,1,0.000,0.000,0.0229,0.000,0.000,0.0229,0.4378,0
2.160,1,0.000,0.000,0.0271,0.000,0.000,0.0271,0.4307,0
2.180,2,0.000,0.000,0.0320,0.000,0.000,0.0320,0.4243,0
2.200,2,0.000,0.000,0.0377,0.000,0.000,0.0377,0.4184,0
2.220,2,0.000,0.000,0.0440,0.000,0.000,0.0440,0.4131,0
2.240,2,0.000,0.000,0.0509,0.000,0.000,0.0509,0.4083,0
2.260,2,0.000,0.000,0.0583,0.000,0.000,0.0583,0.4040,0
2.280,2,0.000,0.000,0.0662,0.000,0.000,0.0662,0.4002,0
2.300,2,0.000,0.000,0.0745,0.000,0.000,0.0745,0.3967,0
2.320,2,0.000,0.000,0.0831,0.000,0.000,0.0831,0.3935,0
2.340,2,0.000,0.000,0.0920,0.000,0.000,0.0920,0.3907,0
2.360,2,0.000,0.000,0.1013,0.000,0.000,0.1013,0.3882,0
2.380,2,0.000,0.000,0.1107,0.000,0.000,0.1107,0.3859,0
2.400,2,0.000,0.000,0.1205,0.000,0.000,0.1205,0.3839,0
2.420,2,0.000,0.000,0.1304,0.000,0.000,0.1304,0.3820,0
2.440,2,0.000,0.000,0.1404,0.000,0.000,0.1404,0.3804,0
2.460,2,0.000,0.000,0.1507,0.000,0.000,0.1507,0.3789,0
2.480,2,0.000,0.000,0.1611,0.000,0.000,0.1611,0.3757,0
2.500,2,0.000,0.000,0.1715,0.000,0.000,0.1715,0.3726,1
2.520,2,-0.000,0.023,0.1821,-0.000,0.023,0.1821,0.3697,1
2.540,2,0.000,0.033,0.1927,0.000,0.033,0.1927,0.3671,1
2.560,2,0.000,0.039,0.2033,0.000,0.039,0.2033,0.3647,1
2.580,2,-0.000,0.043,0.2140,-0.000,0.043,0.2140,0.3625,1
2.600,2,0.000,0.045,0.2245,0.000,0.045,0.2245,0.3605,1
2.620,2,0.000,0.047,0.2351,0.000,0.047,0.2351,0.3587,1
2.640,2,0.000,0.048,0.2455,0.000,0.048,0.2455,0.3571,1
2.660,2,-0.000,0.048,0.2558,-0.000,0.048,0.2558,0.3556,1
2.680,2,0.000,0.047,0.2661,0.000,0.047,0.2661,0.3543,1
2.700,2,-0.000,0.047,0.2762,-0.000,0.047,0.2762,0.3532,1
2.720,2,-0.000,0.046,0.2861,-0.000,0.046,0.2861,0.3522,1
2.740,2,0.000,0.045,0.2959,0.000,0.045,0.2959,0.3513,1
2.760,2,-0.000,0.044,0.3055,-0.000,0.044,0.3055,0.3505,1
