time,true_roll,true_pitch,true_alt,est_roll,est_pitch,est_alt
11.740,5.475,-2.018,0.4963,-0.504,-0.292,0.5163
11.760,5.313,-1.883,0.4968,-0.165,-0.332,0.5214
11.780,4.773,-1.753,0.4971,-0.379,-0.210,0.5420
11.800,4.748,-1.979,0.4968,-0.648,-0.182,0.5298
11.820,5.152,-1.779,0.4957,-0.265,-0.129,0.5260
11.840,5.079,-1.888,0.4947,-0.254,-0.014,0.5190
11.860,4.963,-1.655,0.4940,0.020,-0.035,0.5136
11.880,4.546,-0.964,0.4934,-0.143,0.270,0.5365
11.900,4.559,-1.347,0.4927,-0.062,0.073,0.5373
11.920,4.486,-1.134,0.4914,-0.013,-0.230,0.5401
11.940,4.360,-1.101,0.4899,-0.089,-0.339,0.5222
11.960,3.901,-1.047,0.4884,-0.172,-0.142,0.5270
11.980,3.889,-1.096,0.4871,-0.156,-0.110,0.5286
