time,true_x,true_y,true_z,true_vz,roll,pitch,yaw,on_ground
0.0000,0.0000,0.0000,-0.2000,0.0245,-180.0,-0.0,0.0,0
0.0200,0.0000,0.0000,-0.1975,0.2201,-180.0,-0.0,0.0,0
0.0400,0.0000,0.0000,-0.1912,0.4146,-180.0,-0.0,0.0,0
0.0600,0.0000,0.0000,-0.1809,0.6080,-180.0,-0.0,0.0,0
0.0800,0.0000,0.0000,-0.1669,0.8004,-180.0,-0.0,0.0,0
0.1000,0.0000,0.0000,-0.1489,0.9918,-180.0,-0.0,0.0,0
0.1200,0.0000,0.0000,-0.1272,1.1821,-180.0,-0.0,0.0,0
0.1400,0.0000,0.0000,-0.1017,1.3714,-180.0,-0.0,0.0,0
0.1600,0.0000,0.0000,-0.0723,1.5597,-180.0,-0.0,0.0,0
0.1800,0.0000,0.0000,-0.0393,1.7469,-180.0,-0.0,0.0,0
0.2000,0.0000,0.0000,-0.0148,-0.0611,180.0,0.0,0.0,1
0.2200,0.0000,0.0000,-0.0154,-0.0099,180.0,0.0,0.0,1
0.2400,0.0000,0.0000,-0.0155,-0.0018,180.0,0.0,0.0,1
0.2600,0.0000,0.0000,-0.0155,-0.0005,180.0,0.0,0.0,1
0.2800,0.0000,0.0001,-0.0155,-0.0003,180.0,0.0,0.0,1
0.3000,0.0000,0.0001,-0.0155,-0.0003,180.0,0.0,0.0,1
0.3200,0.0000,0.0001,-0.0155,-0.0003,180.0,0.0,0.0,1
0.3400,0.0000,0.0001,-0.0155,-0.0003,180.0,0.0,0.0,1
0.3600,0.0000,0.0001,-0.0155,-0.0003,180.0,0.0,0.0,1
0.3800,0.0000,0.0001,-0.0155,-0.0003,180.0,0.0,0.0,1
0.4000,0.0000,0.0001,-0.0155,-0.0003,180.0,0.0,0.0,1
0.4200,0.0000,0.0002,-0.0155,-0.0003,180.0,0.0,0.0,1
0.4400,0.0000,0.0002,-0.0155,-0.0003,180.0,0.0,0.0,1
0.4600,0.0000,0.0002,-0.0155,-0.0003,180.0,0.0,0.0,1
0.4800,0.0000,0.0002,-0.0155,-0.0003,180.0,0.0,0.0,1
0.5000,0.0000,0.0002,-0.0155,-0.0003,180.0,0.0,0.0,1
0.5200,0.0000,0.0002,-0.0155,-0.0003,180.0,0.0,0.0,1
0.5400,0.0000,0.0002,-0.0155,-0.0003,180.0,0.0,0.0,1
0.5600,0.0000,0.0002,-0.0155,-0.0003,180.0,0.0,0.0,1
0.5800,0.0000,0.0003,-0.0155,-0.0003,180.0,0.0,0.0,1
0.6000,0.0000,0.0003,-0.0155,-0.0003,180.0,0.0,0.0,1
0.6200,0.0000,0.0003,-0.0155,-0.0003,180.0,0.0,0.0,1
0.6400,0.0000,0.0003,-0.0155,-0.0003,180.0,0.0,0.0,1
0.6600,0.0000,0.0003,-0.0155,-0.0003,180.0,0.0,0.0,1
0.6800,0.0000,0.0003,-0.0155,-0.0003,180.0,0.0,0.0,1
0.7000,0.0000,0.0003,-0.0155,-0.0003,180.0,0.0,0.0,1
0.7200,0.0000,0.0003,-0.0155,-0.0003,180.0,0.0,0.0,1
0.7400,0.0000,0.0004,-0.0155,-0.0003,180.0,0.0,0.0,1
0.7600,0.0000,0.0004,-0.0155,-0.0003,180.0,0.0,0.0,1
0.7800,0.0000,0.0004,-0.0155,-0.0003,180.0,0.0,0.0,1
0.8000,0.0000,0.0004,-0.0155,-0.0003,180.0,0.0,0.0,1
0.8200,0.0000,0.0004,-0.0155,-0.0003,180.0,0.0,0.0,1
0.8400,0.0000,0.0004,-0.0155,-0.0003,180.0,0.0,0.0,1
0.8600,0.0000,0.0004,-0.0155,-0.0003,180.0,0.0,0.0,1
0.8800,0.0000,0.0004,-0.0155,-0.0003,180.0,0.0,0.0,1
0.9000,0.0000,0.0005,-0.0155,-0.0003,180.0,0.0,0.0,1
0.9200,0.0000,0.0005,-0.0155,-0.0003,180.0,0.0,0.0,1
0.9400,0.0000,0.0005,-0.0155,-0.0003,180.0,0.0,0.0,1
0.9600,0.0000,0.0005,-0.0155,-0.0003,180.0,0.0,0.0,1
0.9800,0.0000,0.0005,-0.0155,-0.0003,180.0,0.0,0.0,1
1.0000,0.0000,0.0005,-0.0155,-0.0003,180.0,0.0,0.0,1
1.0200,0.0000,0.0005,-0.0155,-0.0003,180.0,0.0,0.0,1
1.0400,0.0000,0.0005,-0.0155,-0.0003,180.0,0.0,0.0,1
1.0600,0.0000,0.0005,-0.0155,-0.0003,180.0,0.0,0.0,1
1.0800,0.0000,0.0006,-0.0155,-0.0003,180.0,0.0,0.0,1
1.1000,0.0000,0.0006,-0.0155,-0.0003,180.0,0.0,0.0,1
1.1200,0.0000,0.0006,-0.0155,-0.0003,180.0,0.0,0.0,1
1.1400,0.0000,0.0006,-0.0155,-0.0003,180.0,0.0,0.0,1
1.1600,0.0000,0.0006,-0.0155,-0.0003,180.0,0.0,0.0,1
1.1800,0.0000,0.0006,-0.0155,-0.0003,180.0,0.0,0.0,1
1.2000,0.0000,0.0006,-0.0155,-0.0003,180.0,0.0,0.0,1
1.2200,0.0000,0.0006,-0.0155,-0.0003,180.0,0.0,0.0,1
1.2400,0.0000,0.0006,-0.0155,-0.0003,180.0,0.0,0.0,1
1.2600,0.0000,0.0007,-0.0155,-0.0003,180.0,0.0,0.0,1
1.2800,0.0000,0.0007,-0.0155,-0.0003,180.0,0.0,0.0,1
1.3000,0.0000,0.0007,-0.0155,-0.0003,180.0,0.0,0.0,1
1.3200,0.0000,0.0007,-0.0155,-0.0003,180.0,0.0,0.0,1
1.3400,0.0000,0.0007,-0.0155,-0.0003,180.0,0.0,0.0,1
1.3600,0.0000,0.0007,-0.0155,-0.0003,180.0,0.0,0.0,1
1.3800,0.0000,0.0007,-0.0155,-0.0003,180.0,0.0,0.0,1
1.4000,0.0000,0.0007,-0.0155,-0.0003,180.0,0.0,0.0,1
1.4200,0.0000,0.0007,-0.0155,-0.0003,180.0,0.0,0.0,1
1.4400,0.0000,0.0007,-0.0155,-0.0003,180.0,0.0,0.0,1
1.4600,0.0000,0.0008,-0.0155,-0.0003,180.0,0.0,0.0,1
1.4800,0.0000,0.0008,-0.0155,-0.0003,180.0,0.0,0.0,1
1.5000,0.0000,0.0008,-0.0155,-0.0003,180.0,0.0,0.0,1
1.5200,0.0000,0.0008,-0.0155,-0.0003,180.0,0.0,0.0,1
1.5400,0.0000,0.0008,-0.0155,-0.0003,180.0,0.0,0.0,1
1.5600,0.0000,0.0008,-0.0155,-0.0003,180.0,0.0,0.0,1
1.5800,0.0000,0.0008,-0.0155,-0.0003,180.0,0.0,0.0,1
1.6000,0.0000,0.0008,-0.0155,-0.0003,180.0,0.0,0.0,1
1.6200,0.0000,0.0008,-0.0155,-0.0003,180.0,0.0,0.0,1
1.6400,0.0000,0.0008,-0.0155,-0.0003,180.0,0.0,0.0,1
1.6600,0.0000,0.0009,-0.0155,-0.0003,180.0,0.0,0.0,1
1.6800,0.0000,0.0009,-0.0155,-0.0003,180.0,0.0,0.0,1
1.7000,0.0000,0.0009,-0.0155,-0.0003,180.0,0.0,0.0,1
1.7200,0.0000,0.0009,-0.0155,-0.0003,180.0,0.0,0.0,1
1.7400,0.0000,0.0009,-0.0155,-0.0003,180.0,0.0,0.0,1
1.7600,0.0000,0.0009,-0.0155,-0.0003,180.0,0.0,0.0,1
1.7800,0.0000,0.0009,-0.0155,-0.0003,180.0,0.0,0.0,1
1.8000,0.0000,0.0009,-0.0155,-0.0003,180.0,0.0,0.0,1
1.8200,0.0000,0.0009,-0.0155,-0.0003,180.0,0.0,0.0,1
1.8400,0.0000,0.0009,-0.0155,-0.0003,180.0,0.0,0.0,1
1.8600,0.0000,0.0009,-0.0155,-0.0003,180.0,0.0,0.0,1
1.8800,0.0000,0.0010,-0.0155,-0.0003,180.0,0.0,0.0,1
1.9000,0.0000,0.0010,-0.0155,-0.0003,180.0,0.0,0.0,1
1.9200,0.0000,0.0010,-0.0155,-0.0003,180.0,0.0,0.0,1
1.9400,0.0000,0.0010,-0.0155,-0.0003,180.0,0.0,0.0,1
1.9600,0.0000,0.0010,-0.0155,-0.0003,180.0,0.0,0.0,1
1.9800,0.0000,0.0010,-0.0155,-0.0003,180.0,0.0,0.0,1
