time,cmd_roll,true_roll,eskf_roll,error,altitude
0.0000,0.000,0.000,0.023,0.000,0.5000
0.0050,0.000,0.003,-0.048,0.003,0.5000
0.0100,0.000,0.013,-0.096,0.013,0.5000
0.0150,0.000,0.025,-0.145,0.025,0.5001
0.0200,0.000,0.080,-0.193,0.080,0.5003
0.0250,0.000,0.188,-0.214,0.188,0.5005
0.0300,0.000,0.322,-0.213,0.322,0.5007
0.0350,0.000,0.470,-0.139,0.470,0.5011
0.0400,0.000,0.592,-0.090,0.592,0.5015
0.0450,0.000,0.693,-0.023,0.693,0.5020
0.0500,0.000,0.763,-0.029,0.763,0.5027
0.0550,0.000,0.826,-0.151,0.826,0.5034
0.0600,0.000,0.896,-0.513,0.896,0.5042
0.0650,0.000,0.972,-0.237,0.972,0.5051
0.0700,0.000,1.030,-0.142,1.030,0.5060
0.0750,0.000,1.071,-0.226,1.071,0.5071
0.0800,0.000,1.166,-0.503,1.166,0.5082
0.0850,0.000,1.254,-0.453,1.254,0.5094
0.0900,0.000,1.239,-0.400,1.239,0.5107
0.0950,0.000,1.211,-0.331,1.211,0.5121
0.1000,0.000,1.119,0.488,1.119,0.5135
0.1050,0.000,0.982,0.509,0.982,0.5149
0.1100,0.000,0.880,0.448,0.880,0.5164
0.1150,0.000,0.880,0.384,0.880,0.5178
0.1200,0.000,0.928,0.381,0.928,0.5193
0.1250,0.000,0.962,0.372,0.962,0.5207
0.1300,0.000,0.979,0.434,0.979,0.5221
0.1350,0.000,0.932,0.477,0.932,0.5235
0.1400,0.000,0.817,0.456,0.817,0.5249
0.1450,0.000,0.712,0.407,0.712,0.5263
0.1500,0.000,0.633,0.337,0.633,0.5278
0.1550,0.000,0.593,0.301,0.593,0.5293
0.1600,0.000,0.646,0.291,0.646,0.5308
0.1650,0.000,0.720,0.317,0.720,0.5323
0.1700,0.000,0.808,0.329,0.808,0.5338
0.1750,0.000,0.832,0.469,0.832,0.5354
0.1800,0.000,0.710,0.489,0.710,0.5369
0.1850,0.000,0.628,0.380,0.628,0.5384
0.1900,0.000,0.642,0.349,0.642,0.5399
0.1950,0.000,0.581,0.721,0.581,0.5414
0.2000,0.000,0.494,0.669,0.494,0.5428
0.2050,0.000,0.386,0.947,0.386,0.5442
0.2100,0.000,0.234,0.950,0.234,0.5456
0.2150,0.000,0.110,1.013,0.110,0.5469
0.2200,0.000,-0.021,1.047,-0.021,0.5484
0.2250,0.000,-0.167,0.928,-0.167,0.5498
0.2300,0.000,-0.328,0.627,-0.328,0.5513
0.2350,0.000,-0.480,0.510,-0.480,0.5528
0.2400,0.000,-0.622,0.447,-0.622,0.5543
0.2450,0.000,-0.816,0.330,-0.816,0.5558
0.2500,0.000,-0.946,0.078,-0.946,0.5574
0.2550,0.000,-0.910,-0.145,-0.910,0.5590
0.2600,0.000,-0.797,-0.215,-0.797,0.5605
0.2650,0.000,-0.708,-0.147,-0.708,0.5621
0.2700,0.000,-0.739,-0.002,-0.739,0.5638
0.2750,0.000,-0.782,-0.029,-0.782,0.5654
0.2800,0.000,-0.845,-0.046,-0.845,0.5671
0.2850,0.000,-0.931,-0.062,-0.931,0.5688
0.2900,0.000,-1.058,-0.060,-1.058,0.5705
0.2950,0.000,-1.242,-0.257,-1.242,0.5722
0.3000,0.000,-1.374,-0.388,-1.374,0.5740
0.3050,0.000,-1.386,-0.455,-1.386,0.5759
0.3100,0.000,-1.343,-0.356,-1.343,0.5777
0.3150,0.000,-1.327,-0.293,-1.327,0.5796
0.3200,0.000,-1.409,-0.222,-1.409,0.5814
0.3250,0.000,-1.577,-0.231,-1.577,0.5834
0.3300,0.000,-1.746,-0.317,-1.746,0.5853
0.3350,0.000,-1.840,-0.481,-1.840,0.5873
0.3400,0.000,-1.797,-0.636,-1.797,0.5893
0.3450,0.000,-1.667,-0.717,-1.667,0.5913
0.3500,0.000,-1.501,-0.774,-1.501,0.5934
0.3550,0.000,-1.319,-0.827,-1.319,0.5956
0.3600,0.000,-1.140,-1.185,-1.140,0.5978
0.3650,0.000,-1.034,-1.139,-1.034,0.6000
0.3700,0.000,-0.960,-1.055,-0.960,0.6021
0.3750,0.000,-0.944,-0.922,-0.944,0.6043
0.3800,0.000,-0.926,-0.813,-0.926,0.6063
0.3850,0.000,-0.948,-0.758,-0.948,0.6083
0.3900,0.000,-1.000,0.446,-1.000,0.6101
0.3950,0.000,-1.079,0.446,-1.079,0.6119
0.4000,0.000,-1.182,0.435,-1.182,0.6136
0.4050,0.000,-1.337,0.403,-1.337,0.6152
0.4100,0.000,-1.498,0.320,-1.498,0.6168
0.4150,0.000,-1.616,0.225,-1.616,0.6184
0.4200,0.000,-1.689,0.181,-1.689,0.6200
0.4250,0.000,-1.718,-0.259,-1.718,0.6215
0.4300,0.000,-1.720,-0.471,-1.720,0.6230
0.4350,0.000,-1.672,-0.514,-1.672,0.6246
0.4400,0.000,-1.625,-0.516,-1.625,0.6260
0.4450,0.000,-1.525,-0.529,-1.525,0.6275
0.4500,0.000,-1.347,-0.424,-1.347,0.6289
0.4550,0.000,-1.180,-0.315,-1.180,0.6302
0.4600,0.000,-0.989,-0.162,-0.989,0.6315
0.4650,0.000,-0.896,-0.034,-0.896,0.6327
0.4700,0.000,-0.854,0.073,-0.854,0.6338
0.4750,0.000,-0.860,0.164,-0.860,0.6349
0.4800,0.000,-0.906,0.215,-0.906,0.6360
0.4850,0.000,-0.954,0.208,-0.954,0.6370
0.4900,0.000,-0.941,0.213,-0.941,0.6379
0.4950,0.000,-0.881,0.218,-0.881,0.6388
0.5000,0.000,-0.855,0.267,-0.855,0.6397
0.5050,0.000,-0.902,0.274,-0.902,0.6405
0.5100,0.000,-0.976,0.309,-0.976,0.6412
0.5150,0.000,-1.132,0.291,-1.132,0.6420
0.5200,0.000,-1.287,0.234,-1.287,0.6427
0.5250,0.000,-1.397,0.156,-1.397,0.6433
0.5300,0.000,-1.473,0.101,-1.473,0.6440
0.5350,0.000,-1.561,0.030,-1.561,0.6445
0.5400,0.000,-1.628,-0.031,-1.628,0.6450
0.5450,0.000,-1.661,-0.113,-1.661,0.6455
0.5500,0.000,-1.606,-0.160,-1.606,0.6459
0.5550,0.000,-1.510,-0.211,-1.510,0.6462
0.5600,0.000,-1.437,-0.159,-1.437,0.6465
0.5650,0.000,-1.421,-0.086,-1.421,0.6467
0.5700,0.000,-1.454,-0.035,-1.454,0.6469
