time,cmd_roll,true_roll,eskf_roll,error,altitude
0.0000,0.000,0.000,0.018,0.000,0.5000
0.0050,0.000,0.010,-0.034,0.010,0.5000
0.0100,0.000,0.033,-0.043,0.033,0.5000
0.0150,0.000,0.044,-0.069,0.044,0.4999
0.0200,0.000,0.109,0.097,0.109,0.4999
0.0250,0.000,0.208,0.329,0.208,0.4998
0.0300,0.000,0.270,0.495,0.270,0.4996
0.0350,0.000,0.310,1.020,0.310,0.4995
0.0400,0.000,0.287,0.999,0.287,0.4992
0.0450,0.000,0.229,0.964,0.229,0.4990
0.0500,0.000,0.150,0.861,0.150,0.4987
0.0550,0.000,0.113,0.768,0.113,0.4985
0.0600,0.000,0.103,0.711,0.103,0.4982
0.0650,0.000,0.064,0.790,0.064,0.4980
0.0700,0.000,-0.000,0.754,-0.000,0.4977
0.0750,0.000,-0.062,0.676,-0.062,0.4975
0.0800,0.000,-0.071,0.624,-0.071,0.4972
0.0850,0.000,-0.109,0.627,-0.109,0.4970
0.0900,0.000,-0.232,0.587,-0.232,0.4968
0.0950,0.000,-0.352,0.579,-0.352,0.4966
0.1000,0.000,-0.525,1.408,-0.525,0.4964
0.1050,0.000,-0.719,1.330,-0.719,0.4961
0.1100,0.000,-0.852,1.200,-0.852,0.4959
0.1150,0.000,-0.875,1.090,-0.875,0.4955
0.1200,0.000,-0.857,1.039,-0.857,0.4952
0.1250,0.000,-0.866,0.990,-0.866,0.4947
0.1300,0.000,-0.898,0.749,-0.898,0.4942
0.1350,0.000,-0.978,0.738,-0.978,0.4936
0.1400,0.000,-1.104,0.680,-1.104,0.4930
0.1450,0.000,-1.209,0.607,-1.209,0.4923
0.1500,0.000,-1.280,0.524,-1.280,0.4916
0.1550,0.000,-1.313,0.430,-1.313,0.4909
0.1600,0.000,-1.265,0.376,-1.265,0.4903
0.1650,0.000,-1.200,0.480,-1.200,0.4896
0.1700,0.000,-1.131,0.470,-1.131,0.4888
0.1750,0.000,-1.120,0.511,-1.120,0.4881
0.1800,0.000,-1.233,0.494,-1.233,0.4873
0.1850,0.000,-1.309,0.392,-1.309,0.4865
0.1900,0.000,-1.296,0.360,-1.296,0.4856
0.1950,0.000,-1.347,0.660,-1.347,0.4846
0.2000,0.000,-1.423,0.605,-1.423,0.4836
0.2050,0.000,-1.524,0.580,-1.524,0.4825
0.2100,0.000,-1.667,0.514,-1.667,0.4814
0.2150,0.000,-1.777,0.469,-1.777,0.4803
0.2200,0.000,-1.881,0.406,-1.881,0.4792
0.2250,0.000,-1.990,0.344,-1.990,0.4781
0.2300,0.000,-2.101,0.007,-2.101,0.4770
0.2350,0.000,-2.188,-0.068,-2.188,0.4760
0.2400,0.000,-2.261,-0.089,-2.261,0.4749
0.2450,0.000,-2.387,-0.157,-2.387,0.4738
0.2500,0.000,-2.453,-0.359,-2.453,0.4728
0.2550,0.000,-2.358,-0.549,-2.358,0.4717
0.2600,0.000,-2.198,-0.548,-2.198,0.4706
0.2650,0.000,-2.077,-0.362,-2.077,0.4696
0.2700,0.000,-2.088,-0.171,-2.088,0.4685
0.2750,0.000,-2.120,-0.168,-2.120,0.4675
0.2800,0.000,-2.169,-0.167,-2.169,0.4665
0.2850,0.000,-2.235,-0.157,-2.235,0.4654
0.2900,0.000,-2.339,-0.118,-2.339,0.4645
0.2950,0.000,-2.500,-0.463,-2.500,0.4635
0.3000,0.000,-2.608,-0.579,-2.608,0.4626
0.3050,0.000,-2.603,-0.647,-2.603,0.4617
0.3100,0.000,-2.543,-0.480,-2.543,0.4608
0.3150,0.000,-2.517,-0.401,-2.517,0.4599
0.3200,0.000,-2.588,-0.317,-2.588,0.4591
0.3250,0.000,-2.741,-0.302,-2.741,0.4583
0.3300,0.000,-2.892,-0.372,-2.892,0.4575
0.3350,0.000,-2.969,-0.521,-2.969,0.4567
0.3400,0.000,-2.914,-0.662,-2.914,0.4560
0.3450,0.000,-2.777,-0.735,-2.777,0.4553
0.3500,0.000,-2.608,-0.784,-2.608,0.4547
0.3550,0.000,-2.426,-0.828,-2.426,0.4541
0.3600,0.000,-2.250,-1.162,-2.250,0.4535
0.3650,0.000,-2.143,-1.113,-2.143,0.4530
0.3700,0.000,-2.068,-1.026,-2.068,0.4525
0.3750,0.000,-2.054,-0.927,-2.054,0.4519
0.3800,0.000,-2.037,-0.838,-2.037,0.4512
0.3850,0.000,-2.064,-0.780,-2.064,0.4505
0.3900,0.000,-2.123,0.369,-2.123,0.4496
0.3950,0.000,-2.201,0.371,-2.201,0.4487
0.4000,0.000,-2.311,0.363,-2.311,0.4478
0.4050,0.000,-2.486,0.332,-2.486,0.4468
0.4100,0.000,-2.691,0.234,-2.691,0.4457
0.4150,0.000,-2.843,0.117,-2.843,0.4447
0.4200,0.000,-2.929,0.135,-2.929,0.4437
0.4250,0.000,-2.965,-0.252,-2.965,0.4427
0.4300,0.000,-2.987,-0.321,-2.987,0.4418
0.4350,0.000,-2.962,-0.362,-2.962,0.4409
0.4400,0.000,-2.905,-0.379,-2.905,0.4400
0.4450,0.000,-2.772,-0.412,-2.772,0.4391
0.4500,0.000,-2.563,-0.303,-2.563,0.4383
0.4550,0.000,-2.329,0.100,-2.329,0.4374
0.4600,0.000,-2.039,0.337,-2.039,0.4366
0.4650,0.000,-1.840,0.544,-1.840,0.4358
0.4700,0.000,-1.698,0.742,-1.698,0.4349
0.4750,0.000,-1.672,0.911,-1.672,0.4341
0.4800,0.000,-1.767,1.002,-1.767,0.4333
0.4850,0.000,-1.903,0.957,-1.903,0.4326
0.4900,0.000,-1.988,1.007,-1.988,0.4318
0.4950,0.000,-2.026,0.950,-2.026,0.4310
0.5000,0.000,-2.072,0.941,-2.072,0.4303
0.5050,0.000,-2.184,0.887,-2.184,0.4296
0.5100,0.000,-2.328,0.878,-2.328,0.4289
0.5150,0.000,-2.558,0.820,-2.558,0.4282
0.5200,0.000,-2.799,0.726,-2.799,0.4275
0.5250,0.000,-2.980,0.177,-2.980,0.4268
0.5300,0.000,-3.090,0.062,-3.090,0.4262
0.5350,0.000,-3.164,-0.132,-3.164,0.4255
