time,phase,true_roll,true_pitch,true_alt,est_roll,est_pitch,est_alt,thrust,gust
2.000,1,0.000,0.000,0.0150,-0.133,0.027,0.0150,0.4628,0
2.020,1,0.000,-0.000,0.0150,-0.097,-0.061,0.0150,0.4650,0
2.040,1,-0.000,-0.001,0.0150,0.026,-0.196,0.0150,0.4670,0
2.060,1,0.015,0.021,0.0150,-0.073,-0.717,0.0150,0.4679,0
2.080,1,0.020,0.301,0.0154,-0.169,-1.154,0.0154,0.4658,0
2.100,1,0.206,0.893,0.0161,0.093,-1.271,0.0161,0.4636,0
2.120,1,-0.209,1.295,0.0172,0.170,-0.891,0.0172,0.4612,0
2.140,1,0.032,1.705,0.0187,0.125,-0.748,0.0187,0.4594,0
2.160,1,0.203,2.381,0.0207,0.167,-0.418,0.0207,0.4554,0
2.180,1,0.251,2.249,0.0233,-0.039,-0.303,0.0233,0.4512,0
2.200,1,0.327,2.674,0.0263,-0.158,-0.348,0.0263,0.4479,0
2.220,1,0.620,2.889,0.0298,-0.034,-0.211,0.0298,0.4456,0
2.240,2,0.427,2.760,0.0336,0.080,-0.035,0.0002,0.4798,0
2.260,2,0.422,2.825,0.0379,-0.259,0.435,0.0568,0.4922,0
2.280,2,0.826,2.861,0.0429,-0.099,0.207,0.0644,0.4525,0
2.300,2,0.968,2.967,0.0485,0.003,0.235,0.0682,0.4495,0
2.320,2,1.144,3.267,0.0544,-0.063,0.233,0.0711,0.4556,0
2.340,2,0.662,3.067,0.0609,0.157,0.189,0.0807,0.4186,0
2.360,2,0.078,3.171,0.0676,-0.168,0.452,0.0884,0.4111,0
2.380,2,0.154,3.052,0.0744,-0.160,0.044,0.0852,0.4715,0
2.400,2,0.045,3.193,0.0814,-0.172,-0.029,0.0873,0.4723,0
2.420,2,0.432,3.350,0.0890,0.046,0.254,0.1029,0.4142,0
2.440,2,0.665,3.590,0.0969,0.496,0.502,0.1289,0.3173,0
2.460,2,0.550,3.816,0.1047,0.420,0.554,0.1468,0.3167,0
2.480,2,0.450,3.676,0.1121,-0.115,-0.832,0.0997,0.6130,0
2.500,2,0.558,3.903,0.1196,0.297,-0.839,0.0863,0.6130,1
2.520,2,0.381,4.037,0.1277,0.302,-0.129,0.1443,0.3288,1
2.540,2,0.267,4.064,0.1357,-0.174,-0.344,0.1532,0.3777,1
