accel_bias_x_drift,accel_bias_x_mean,accel_bias_x_std,accel_bias_y_drift,accel_bias_y_mean,accel_bias_y_std,accel_bias_z_drift,accel_bias_z_mean,accel_bias_z_std,accel_x_mean,accel_x_rms,accel_x_std,accel_y_mean,accel_y_rms,accel_y_std,accel_z_mean,accel_z_rms,accel_z_std,accel_z_std_high,accel_z_std_idle,accel_z_std_low,accel_z_std_mid,category,gyro_bias_x_drift,gyro_bias_x_mean,gyro_bias_x_std,gyro_bias_y_drift,gyro_bias_y_mean,gyro_bias_y_std,gyro_bias_z_drift,gyro_bias_z_mean,gyro_bias_z_std,gyro_x_mean,gyro_x_rms,gyro_x_std,gyro_x_std_high,gyro_x_std_idle,gyro_x_std_low,gyro_x_std_mid,gyro_y_mean,gyro_y_rms,gyro_y_std,gyro_z_mean,gyro_z_rms,gyro_z_std,name,samples,tof_max,tof_mean,tof_min,tof_std
0.2124,-0.1184936170212766,0.1054860511183075,-0.015,0.00836819329246304,0.007449579881236404,0.6742,0.19618625135232598,0.30188473673962907,-0.2887061015598292,1.4804919789808362,1.4804919789808362,0.0237650264182812,1.2756199875278518,1.2756199875278518,-9.569850238274515,2.132581663123053,2.132581663123053,2.2694841490831026,0.0517817779405834,1.3409630887935422,1.2640495911228304,hover,0.0035,-0.011523665705012622,0.03973909975329521,0.00019999999999999993,-0.014084592499098448,0.0558290420825378,-0.0006000000000000001,-0.0001652722683014786,0.0002979831952494561,-0.0021955732448165535,1.1105228055026488,1.1105228055026488,0.7899246055166521,0.018193714748656376,1.9304184416573664,1.004840597878506,0.009017013983291366,0.9093600917311555,0.9093600917311555,-0.0069510502375137295,0.40254985526472487,0.40254985526472487,flight.csv,11092,0.8280000686645508,0.24901804254362422,0.03100000135600567,0.2554544533706953
0.0786,-0.14581757440476192,0.06455871687674135,-0.0574,0.02746177083333333,0.021649832731012404,0.020699999999999996,-0.22213953869047615,0.011581061642841242,-0.08457328327668143,2.4365023436454356,2.4365023436454356,-0.38309173542838404,2.323444309425778,2.323444309425778,-5.238325912713827,8.466947136535708,8.466947136535708,3.297587866294943,9.868430733826346,2.654503621935815,2.6760456265582997,hover,0.0091,0.0010893154761904764,0.0037611392661062422,0.0056,0.002118720238095238,0.002194475781923228,0.0,0.007299999999999999,8.673617379884035e-19,-0.18627081693247355,2.655185065151719,2.655185065151719,3.4964455584275194,0.6164308026379651,2.304191994660811,4.216338279295627,0.09796784840768077,2.8214800744015216,2.8214800744015216,-0.1581607445802157,1.8973112378342158,1.8973112378342158,hover01.csv,6720,0.35200002789497375,0.09853437943023718,0.03100000135600567,0.11100434796842029
0.0508,-0.14447742733457017,0.006015362012963803,0.0336,-0.0060220779220779225,0.003978664638495742,0.3935,-0.1512593846629561,0.060874498115151957,-0.12689698606023384,0.8012986506926516,0.8012986506926516,0.039537256488884995,0.5417362091190225,0.5417362091190225,-9.60871222113929,1.400739498314744,1.400739498314744,1.4445179794046963,0.011192758541385715,0.2683890059714739,0.3979200206156019,hover,0.061200000000000004,-0.0016445114409400126,0.005461737022056864,0.027800000000000005,0.0042634353741496595,0.0025267567064550765,0.0,0.007299999999999999,8.673617379884035e-19,-0.03970990835379913,0.6396331285367124,0.6396331285367124,0.7789764476650951,0.0015248676555323416,0.03260482677287679,0.0699279473847984,0.00547040904967798,0.535698421919563,0.535698421919563,0.03289430935026715,0.12664345549215608,0.12664345549215608,hover02.csv,6468,1.6750000715255737,0.8093966697708427,0.04000000283122063,0.5559668052706348
0.0,-0.16429999999999997,2.7755575615628914e-17,0.0,-0.036899999999999995,6.938893903907228e-18,0.0,-0.25170000000000003,5.551115123125783e-17,-0.16203673747645703,0.009542411925136992,0.009542411925136992,-0.04766377635689752,0.010435651320313362,0.010435651320313362,-10.043308288056329,0.013239687066192683,0.013239687066192683,,0.013239687066192683,,,static,0.0,-0.0032000000000000015,1.3010426069826053e-18,-0.00010000000000000026,0.002496992273730684,1.707999442682688e-05,0.0,0.0053,0.0,-0.0032921803166980792,0.0015133622127318392,0.0015133622127318392,,0.0015133622127318392,,,0.0016659808078419353,0.0014646642645895016,0.0014646642645895016,0.006033812600848929,0.0014355891358903746,0.0014355891358903746,hover03.csv,3624,,,,
0.0,-0.16429999999999995,5.551115123125783e-17,0.0,-0.036899999999999995,6.938893903907228e-18,0.0,-0.25170000000000003,5.551115123125783e-17,-0.16165553297433588,0.010075222557795567,0.010075222557795567,-0.05725946403237887,0.010884914491202512,0.010884914491202512,-10.026803161568111,0.011789416756937395,0.011789416756937395,,0.011789416756937395,,,static,0.0,-0.003299999999999999,8.673617379884035e-19,0.0,0.0024000000000000002,4.336808689942018e-19,0.0,0.005299999999999999,8.673617379884035e-19,-0.0031384246873564178,0.0015246203564742605,0.0015246203564742605,,0.0015246203564742605,,,0.0031421836208988274,0.0014609342756543775,0.0014609342756543775,0.005802485112928682,0.001402444445736863,0.001402444445736863,hover04.csv,3600,0.03200000151991844,0.031140834712423383,0.03100000135600567,0.0003478496014403671
0.0,-0.0784,0.0,0.0,-0.08469999999999998,1.3877787807814457e-17,0.0,-0.20060000000000008,8.326672684688674e-17,-0.07950405843969849,0.008917673711082725,0.008917673711082725,-0.09236565802660253,0.01030490587937272,0.01030490587937272,-10.00923363659117,0.011691368523323385,0.011691368523323385,,0.011691368523323385,,,static,-9.999999999999983e-05,-0.003548527777777778,4.997832091745766e-05,9.999999999999983e-05,0.0016753333333333334,4.310710176087249e-05,0.0,0.0048000000000000004,8.673617379884035e-19,-0.003930185823769029,0.0015256104455632267,0.0015256104455632267,,0.0015256104455632267,,,0.002405760008564862,0.0014542183245599921,0.0014542183245599921,0.004991020253930603,0.0014154667584236353,0.0014154667584236353,hover06.csv,3600,,,,
0.0,-0.07840000000000003,2.7755575615628914e-17,0.0,-0.0847,0.0,0.0,-0.20060000000000008,8.326672684688674e-17,-0.08045303463341152,0.007862343132382797,0.007862343132382797,-0.10114817548520773,0.010719186801615878,0.010719186801615878,-10.000339937018582,0.011769041960167006,0.011769041960167006,,0.011769041960167006,,,static,0.0,-0.003700000000000002,1.734723475976807e-18,0.0,0.0018999999999999993,6.505213034913027e-19,0.0,0.0048,0.0,-0.0038523810747849675,0.0016183400806051439,0.0016183400806051439,,0.0016183400806051439,,,0.002149963346174577,0.0014444813139362152,0.0014444813139362152,0.004877698760983512,0.001396150559096054,0.001396150559096054,hover07.csv,3984,,,,
0.0,-0.07840000000000003,2.7755575615628914e-17,0.0,-0.08470000000000001,1.3877787807814457e-17,0.0,-0.20060000000000008,8.326672684688674e-17,-0.08124221046711062,0.009211542416766251,0.009211542416766251,-0.10819081747467135,0.011472565833380457,0.011472565833380457,-9.992483420805497,0.012467738721721345,0.012467738721721345,,0.012467738721721345,,,static,0.0,-0.003599999999999999,8.673617379884035e-19,0.0,0.0018999999999999996,4.336808689942018e-19,0.0,0.0048000000000000004,8.673617379884035e-19,-0.0034843162343790495,0.001538200662283225,0.001538200662283225,,0.001538200662283225,,,0.0017414928730884243,0.0015060043002671237,0.0015060043002671237,0.005245624094169688,0.0014231051512409805,0.0014231051512409805,hover08.csv,4004,,,,
0.0,-0.09729999999999997,2.7755575615628914e-17,0.0,0.17419999999999994,5.551115123125783e-17,0.0,-0.24270000000000008,8.326672684688674e-17,-0.09741067375323703,0.02401475684573936,0.02401475684573936,0.16848194302872704,0.03123568623720605,0.03123568623720605,-10.046498750674111,0.03591662118358106,0.03591662118358106,,0.03591662118358106,,,static,9.999999999999983e-05,-0.00353934830230011,4.885223982695306e-05,-0.00010000000000000026,0.002483324205914567,3.727596142507287e-05,0.0,0.0055,0.0,-0.002731370372001223,0.0017937434161760493,0.0017937434161760493,,0.0017937434161760493,,,0.002162970846164297,0.0030535335275166465,0.0030535335275166465,0.005612189807173409,0.0019849045879314644,0.0019849045879314644,hover09.csv,3652,,,,
0.0,-0.09729999999999997,2.7755575615628914e-17,0.0,0.17419999999999994,5.551115123125783e-17,0.0,-0.24270000000000005,5.551115123125783e-17,-0.09709751516379214,0.008950623824240025,0.008950623824240025,0.15400730362212336,0.012809635517452232,0.012809635517452232,-10.027640286780693,0.011402542130975208,0.011402542130975208,,0.011402542130975208,,,static,0.00010000000000000026,-0.0034045945945945944,2.0936789629042556e-05,0.0,0.0022,0.0,0.0,0.0055000000000000005,8.673617379884035e-19,-0.0028027023308344404,0.0015200016683604288,0.0015200016683604288,,0.0015200016683604288,,,0.0029153949520194736,0.0015506619951875364,0.0015506619951875364,0.006648483777487953,0.0014301084062609327,0.0014301084062609327,hover10.csv,3700,0.03100000135600567,0.03100000135600567,0.03100000135600567,0.0
