time,cmd_roll,true_roll,eskf_roll,error,altitude
0.0000,0.000,0.000,0.019,0.000,0.5000
0.0050,0.000,0.008,-0.032,0.008,0.5000
0.0100,0.000,0.030,-0.061,0.030,0.5000
0.0150,0.000,0.044,-0.110,0.044,0.5000
0.0200,0.000,0.107,-0.125,0.107,0.5000
0.0250,0.000,0.196,0.376,0.196,0.4999
0.0300,0.000,0.245,0.447,0.245,0.4999
0.0350,0.000,0.267,0.834,0.267,0.4998
0.0400,0.000,0.245,0.801,0.245,0.4997
0.0450,0.000,0.202,0.758,0.202,0.4996
0.0500,0.000,0.145,0.650,0.145,0.4995
0.0550,0.000,0.134,0.565,0.134,0.4994
0.0600,0.000,0.156,0.525,0.156,0.4994
0.0650,0.000,0.158,0.658,0.158,0.4993
0.0700,0.000,0.132,0.637,0.132,0.4992
0.0750,0.000,0.098,0.590,0.098,0.4992
0.0800,0.000,0.115,0.567,0.115,0.4992
0.0850,0.000,0.102,0.598,0.102,0.4991
0.0900,0.000,-0.008,0.582,-0.008,0.4991
0.0950,0.000,-0.125,0.589,-0.125,0.4991
0.1000,0.000,-0.316,1.616,-0.316,0.4991
0.1050,0.000,-0.553,1.524,-0.553,0.4991
0.1100,0.000,-0.722,1.373,-0.722,0.4990
0.1150,0.000,-0.785,1.235,-0.785,0.4989
0.1200,0.000,-0.801,1.155,-0.801,0.4987
0.1250,0.000,-0.829,1.081,-0.829,0.4985
0.1300,0.000,-0.872,0.738,-0.872,0.4982
0.1350,0.000,-0.953,0.712,-0.953,0.4978
0.1400,0.000,-1.072,0.646,-1.072,0.4973
0.1450,0.000,-1.168,0.571,-1.168,0.4968
0.1500,0.000,-1.233,0.490,-1.233,0.4963
0.1550,0.000,-1.260,0.400,-1.260,0.4958
0.1600,0.000,-1.211,0.349,-1.211,0.4953
0.1650,0.000,-1.144,0.511,-1.144,0.4948
0.1700,0.000,-1.070,0.507,-1.070,0.4942
0.1750,0.000,-1.056,0.544,-1.056,0.4936
0.1800,0.000,-1.166,0.529,-1.166,0.4930
0.1850,0.000,-1.227,0.436,-1.227,0.4923
0.1900,0.000,-1.196,0.415,-1.196,0.4916
0.1950,0.000,-1.234,0.800,-1.234,0.4908
0.2000,0.000,-1.307,0.755,-1.307,0.4899
0.2050,0.000,-1.415,0.732,-1.415,0.4889
0.2100,0.000,-1.571,0.649,-1.571,0.4880
0.2150,0.000,-1.695,0.578,-1.695,0.4870
0.2200,0.000,-1.808,0.505,-1.808,0.4860
0.2250,0.000,-1.918,0.437,-1.918,0.4850
0.2300,0.000,-2.028,0.045,-2.028,0.4840
0.2350,0.000,-2.104,-0.028,-2.104,0.4831
0.2400,0.000,-2.163,-0.045,-2.163,0.4821
0.2450,0.000,-2.285,-0.104,-2.285,0.4811
0.2500,0.000,-2.362,-0.357,-2.362,0.4802
0.2550,0.000,-2.290,-0.511,-2.290,0.4792
0.2600,0.000,-2.154,-0.631,-2.154,0.4782
0.2650,0.000,-2.049,-0.502,-2.049,0.4772
0.2700,0.000,-2.062,-0.359,-2.062,0.4763
0.2750,0.000,-2.082,-0.357,-2.082,0.4753
0.2800,0.000,-2.108,-0.349,-2.108,0.4743
0.2850,0.000,-2.144,-0.308,-2.144,0.4734
0.2900,0.000,-2.216,-0.179,-2.216,0.4725
0.2950,0.000,-2.358,-0.469,-2.358,0.4716
0.3000,0.000,-2.462,-0.585,-2.462,0.4707
0.3050,0.000,-2.454,-0.644,-2.454,0.4698
0.3100,0.000,-2.391,-0.574,-2.391,0.4690
0.3150,0.000,-2.352,-0.476,-2.352,0.4682
0.3200,0.000,-2.407,-0.381,-2.407,0.4674
0.3250,0.000,-2.548,-0.341,-2.548,0.4666
0.3300,0.000,-2.690,-0.396,-2.690,0.4658
0.3350,0.000,-2.765,-0.537,-2.765,0.4651
0.3400,0.000,-2.714,-0.674,-2.714,0.4644
0.3450,0.000,-2.590,-0.752,-2.590,0.4637
0.3500,0.000,-2.441,-0.807,-2.441,0.4631
0.3550,0.000,-2.281,-0.863,-2.281,0.4625
0.3600,0.000,-2.125,-1.312,-2.125,0.4619
0.3650,0.000,-2.040,-1.280,-2.040,0.4614
0.3700,0.000,-1.978,-1.209,-1.978,0.4609
0.3750,0.000,-1.966,-1.090,-1.966,0.4603
0.3800,0.000,-1.944,-0.994,-1.944,0.4596
0.3850,0.000,-1.960,-0.940,-1.960,0.4589
0.3900,0.000,-2.004,0.500,-2.004,0.4581
0.3950,0.000,-2.071,0.509,-2.071,0.4571
0.4000,0.000,-2.178,0.506,-2.178,0.4562
0.4050,0.000,-2.356,0.476,-2.356,0.4551
0.4100,0.000,-2.570,0.376,-2.570,0.4541
0.4150,0.000,-2.733,0.253,-2.733,0.4531
0.4200,0.000,-2.830,0.248,-2.830,0.4520
0.4250,0.000,-2.876,-0.211,-2.876,0.4510
0.4300,0.000,-2.905,-0.288,-2.905,0.4501
0.4350,0.000,-2.886,-0.336,-2.886,0.4491
0.4400,0.000,-2.832,-0.360,-2.832,0.4482
0.4450,0.000,-2.702,-0.395,-2.702,0.4473
0.4500,0.000,-2.496,-0.291,-2.496,0.4464
0.4550,0.000,-2.266,0.068,-2.266,0.4456
0.4600,0.000,-1.979,0.302,-1.979,0.4447
0.4650,0.000,-1.779,0.507,-1.779,0.4438
0.4700,0.000,-1.634,0.705,-1.634,0.4430
0.4750,0.000,-1.602,0.875,-1.602,0.4421
0.4800,0.000,-1.691,0.969,-1.691,0.4413
0.4850,0.000,-1.823,0.929,-1.823,0.4405
0.4900,0.000,-1.904,1.010,-1.904,0.4397
0.4950,0.000,-1.942,0.956,-1.942,0.4389
0.5000,0.000,-1.989,0.948,-1.989,0.4381
0.5050,0.000,-2.103,0.894,-2.103,0.4373
0.5100,0.000,-2.250,0.883,-2.250,0.4366
0.5150,0.000,-2.480,0.825,-2.480,0.4359
0.5200,0.000,-2.720,0.736,-2.720,0.4351
0.5250,0.000,-2.900,0.186,-2.900,0.4344
0.5300,0.000,-3.009,0.067,-3.009,0.4337
0.5350,0.000,-3.081,-0.128,-3.081,0.4330
0.5400,0.000,-3.088,-0.190,-3.088,0.4323
0.5450,0.000,-3.058,-0.254,-3.058,0.4316
0.5500,0.000,-2.963,-0.275,-2.963,0.4309
0.5550,0.000,-2.844,-0.186,-2.844,0.4302
0.5600,0.000,-2.765,-0.102,-2.765,0.4295
0.5650,0.000,-2.764,0.180,-2.764,0.4288
0.5700,0.000,-2.835,0.378,-2.835,0.4281
0.5750,0.000,-2.922,0.382,-2.922,0.4275
0.5800,0.000,-2.985,0.352,-2.985,0.4268
0.5850,0.000,-3.038,0.271,-3.038,0.4261
0.5900,0.000,-3.132,0.257,-3.132,0.4255
0.5950,0.000,-3.186,0.207,-3.186,0.4248
0.6000,0.000,-3.133,0.191,-3.133,0.4242
0.6050,0.000,-3.051,0.131,-3.051,0.4236
0.6100,0.000,-2.944,0.155,-2.944,0.4230
0.6150,0.000,-2.852,0.158,-2.852,0.4223
0.6200,0.000,-2.745,0.201,-2.745,0.4217
0.6250,0.000,-2.666,0.218,-2.666,0.4211
0.6300,0.000,-2.543,0.231,-2.543,0.4205
0.6350,0.000,-2.389,0.308,-2.389,0.4200
0.6400,0.000,-2.318,0.419,-2.318,0.4194
0.6450,0.000,-2.354,0.476,-2.354,0.4188
0.6500,0.000,-2.425,0.250,-2.425,0.4182
0.6550,0.000,-2.520,0.271,-2.520,0.4176
0.6600,0.000,-2.654,0.182,-2.654,0.4171
0.6650,0.000,-2.765,-0.032,-2.765,0.4165
0.6700,0.000,-2.821,-0.150,-2.821,0.4161
0.6750,0.000,-2.779,-0.251,-2.779,0.4156
0.6800,0.000,-2.657,-0.271,-2.657,0.4152
0.6850,0.000,-2.539,-0.031,-2.539,0.4149
0.6900,0.000,-2.479,0.061,-2.479,0.4147
0.6950,0.000,-2.448,0.096,-2.448,0.4144
0.7000,0.000,-2.395,0.115,-2.395,0.4142
0.7050,0.000,-2.329,0.160,-2.329,0.4140
0.7100,0.000,-2.267,0.172,-2.267,0.4139
0.7150,0.000,-2.154,0.061,-2.154,0.4137
0.7200,0.000,-1.963,0.096,-1.963,0.4136
0.7250,0.000,-1.808,0.184,-1.808,0.4135
0.7300,0.000,-1.715,0.184,-1.715,0.4134
0.7350,0.000,-1.633,0.207,-1.633,0.4133
0.7400,0.000,-1.571,0.231,-1.571,0.4132
0.7450,0.000,-1.555,0.268,-1.555,0.4131
0.7500,0.000,-1.608,0.429,-1.608,0.4131
0.7550,0.000,-1.707,0.354,-1.707,0.4132
0.7600,0.000,-1.671,0.306,-1.671,0.4132
0.7650,0.000,-1.643,0.266,-1.643,0.4132
0.7700,0.000,-1.623,0.270,-1.623,0.4133
0.7750,0.000,-1.668,0.243,-1.668,0.4133
0.7800,0.000,-1.725,0.280,-1.725,0.4133
0.7850,0.000,-1.789,0.247,-1.789,0.4134
0.7900,0.000,-1.856,0.268,-1.856,0.4134
0.7950,0.000,-1.989,0.243,-1.989,0.4134
0.8000,0.000,-2.081,0.145,-2.081,0.4133
0.8050,0.000,-2.045,0.056,-2.045,0.4133
0.8100,0.000,-1.942,0.066,-1.942,0.4132
0.8150,0.000,-1.930,-0.114,-1.930,0.4131
0.8200,0.000,-2.027,-0.182,-2.027,0.4131
0.8250,0.000,-2.132,-0.217,-2.132,0.4130
0.8300,0.000,-2.208,-0.275,-2.208,0.4129
0.8350,0.000,-2.267,-0.263,-2.267,0.4128
0.8400,0.000,-2.381,-0.238,-2.381,0.4128
0.8450,0.000,-2.523,-0.272,-2.523,0.4128
0.8500,0.000,-2.591,-0.389,-2.591,0.4128
0.8550,0.000,-2.530,-0.447,-2.530,0.4129
0.8600,0.000,-2.447,-0.451,-2.447,0.4129
0.8650,0.000,-2.374,-0.393,-2.374,0.4130
0.8700,0.000,-2.366,-0.370,-2.366,0.4132
0.8750,0.000,-2.350,-0.439,-2.350,0.4133
0.8800,0.000,-2.287,-0.363,-2.287,0.4134
0.8850,0.000,-2.278,-0.329,-2.278,0.4136
0.8900,0.000,-2.372,-0.350,-2.372,0.4137
0.8950,0.000,-2.431,-0.410,-2.431,0.4139
0.9000,0.000,-2.427,-0.386,-2.427,0.4140
0.9050,0.000,-2.469,-0.406,-2.469,0.4140
0.9100,0.000,-2.456,-0.539,-2.456,0.4140
0.9150,0.000,-2.364,-0.537,-2.364,0.4140
0.9200,0.000,-2.255,-0.495,-2.255,0.4139
0.9250,0.000,-2.157,-0.449,-2.157,0.4138
0.9300,0.000,-2.063,-0.387,-2.063,0.4137
0.9350,0.000,-1.986,-0.355,-1.986,0.4135
0.9400,0.000,-1.902,-0.314,-1.902,0.4134
0.9450,0.000,-1.826,-0.272,-1.826,0.4132
0.9500,0.000,-1.733,-0.236,-1.733,0.4131
0.9550,0.000,-1.623,-0.205,-1.623,0.4129
0.9600,0.000,-1.515,0.009,-1.515,0.4127
0.9650,0.000,-1.455,0.114,-1.455,0.4125
0.9700,0.000,-1.433,0.167,-1.433,0.4123
0.9750,0.000,-1.423,0.235,-1.423,0.4121
0.9800,0.000,-1.383,0.264,-1.383,0.4119
0.9850,0.000,-1.360,0.275,-1.360,0.4117
0.9900,0.000,-1.306,0.264,-1.306,0.4116
0.9950,0.000,-1.227,0.247,-1.227,0.4115
1.0000,0.000,-1.146,0.309,-1.146,0.4114
1.0050,0.707,-1.143,0.387,-1.849,0.4114
1.0100,1.412,-1.134,0.442,-2.545,0.4115
1.0150,2.114,-1.127,0.387,-3.240,0.4116
1.0200,2.811,-1.072,0.325,-3.883,0.4117
1.0250,3.502,-0.987,0.268,-4.489,0.4119
1.0300,4.185,-0.855,0.282,-5.040,0.4121
1.0350,4.859,-0.681,0.369,-5.540,0.4124
1.0400,5.522,-0.461,0.414,-5.984,0.4128
1.0450,6.173,-0.203,0.584,-6.376,0.4132
1.0500,6.810,0.118,0.773,-6.692,0.4136
1.0550,7.432,0.559,1.023,-6.873,0.4140
1.0600,8.038,1.066,1.323,-6.972,0.4144
1.0650,8.626,1.623,1.651,-7.003,0.4148
1.0700,9.194,2.287,2.070,-6.907,0.4152
1.0750,9.742,3.005,2.584,-6.737,0.4155
1.0800,10.269,3.621,3.190,-6.648,0.4158
1.0850,10.773,4.144,3.729,-6.629,0.4160
1.0900,11.252,4.702,4.259,-6.550,0.4162
1.0950,11.707,5.245,4.785,-6.463,0.4164
1.1000,12.136,5.775,5.277,-6.361,0.4166
1.1050,12.538,6.318,5.934,-6.220,0.4167
1.1100,12.912,6.809,6.470,-6.103,0.4168
1.1150,13.257,7.202,6.934,-6.056,0.4168
1.1200,13.573,7.587,7.414,-5.987,0.4168
1.1250,13.859,7.943,7.816,-5.916,0.4167
1.1300,14.114,8.401,8.272,-5.713,0.4166
1.1350,14.338,8.872,8.696,-5.466,0.4165
1.1400,14.530,9.390,8.706,-5.140,0.4163
1.1450,14.689,9.938,9.200,-4.752,0.4160
1.1500,14.816,10.490,9.691,-4.326,0.4157
1.1550,14.911,11.013,10.189,-3.898,0.4154
1.1600,14.972,11.482,10.673,-3.489,0.4150
1.1650,14.999,11.928,11.110,-3.072,0.4146
1.1700,14.994,12.334,11.680,-2.660,0.4142
1.1750,14.955,12.601,12.161,-2.354,0.4138
1.1800,14.883,12.751,12.506,-2.132,0.4133
1.1850,14.778,12.874,12.716,-1.903,0.4128
1.1900,14.640,13.124,12.833,-1.516,0.4124
1.1950,14.469,13.369,13.003,-1.101,0.4118
1.2000,14.267,13.533,13.210,-0.734,0.4113
1.2050,14.033,13.615,12.585,-0.418,0.4108
1.2100,13.767,13.675,12.667,-0.093,0.4102
1.2150,13.471,13.748,12.785,0.277,0.4096
1.2200,13.146,13.812,12.892,0.667,0.4091
1.2250,12.791,13.863,12.966,1.073,0.4086
1.2300,12.407,13.873,12.926,1.466,0.4081
1.2350,11.996,13.842,13.918,1.846,0.4076
1.2400,11.559,13.795,13.544,2.236,0.4072
1.2450,11.095,13.696,13.386,2.601,0.4068
1.2500,10.607,13.515,13.261,2.908,0.4065
1.2550,10.096,13.312,13.128,3.216,0.4061
1.2600,9.562,13.093,12.924,3.531,0.4057
