t,px,py,pz,qw,qx,qy,qz,alt,tilt,yawrate,yawcmd,alt_est,tilt_est,m0,m1,m2,m3
0.0000,0.00000,0.00000,0.01300,1.000000,0.000000,0.000000,0.000000,0.0130,0.000,-0.0000,0.0000,-0.0000,90.000,0.0000,0.0000,0.0000,0.0000
0.0200,0.00000,0.00000,0.01104,1.000000,0.000000,0.000000,0.000000,0.0115,0.000,-0.0000,0.0000,-0.0017,0.000,0.0000,0.0000,0.0000,0.0000
0.0400,-0.00000,0.00000,0.00879,1.000000,0.000000,0.000000,0.000000,0.0088,0.000,-0.0000,0.0000,-0.0009,0.000,0.0000,0.0000,0.0041,0.0041
0.0600,-0.00000,0.00000,0.00908,1.000000,-0.000000,-0.000000,0.000000,0.0090,0.000,-0.0000,0.0000,0.0015,0.000,0.0000,0.0000,0.0041,0.0041
0.0800,-0.00000,0.00000,0.00959,1.000000,0.000000,-0.000000,0.000000,0.0095,0.000,-0.0000,0.0000,0.0035,0.000,0.0041,0.0041,0.0000,0.0000
0.1000,-0.00000,0.00000,0.00991,1.000000,0.000000,-0.000000,0.000000,0.0099,0.000,-0.0000,0.0000,0.0049,0.000,0.0041,0.0041,0.0000,0.0000
0.1200,-0.00000,0.00000,0.01007,1.000000,0.000000,-0.000000,0.000000,0.0101,0.000,-0.0000,0.0000,0.0059,0.000,0.0041,0.0000,0.0041,0.0000
0.1400,-0.00000,0.00000,0.01014,1.000000,0.000000,-0.000000,0.000000,0.0101,0.000,-0.0000,0.0000,0.0065,0.000,0.0000,0.0000,0.0041,0.0000
0.1600,-0.00000,0.00000,0.01017,1.000000,0.000000,-0.000000,0.000000,0.0102,0.000,0.0000,0.0000,0.0069,0.000,0.0000,0.0000,0.0041,0.0041
0.1800,-0.00000,0.00000,0.01018,1.000000,0.000000,-0.000000,0.000000,0.0102,0.000,0.0000,0.0000,0.0072,0.000,0.0041,0.0041,0.0041,0.0000
0.2000,-0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000000,0.0102,0.000,0.0000,0.0000,0.0074,0.000,0.0000,0.0000,0.0041,0.0041
0.2200,-0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000000,0.0102,0.000,0.0000,0.0000,0.0075,0.000,0.0000,0.0000,0.0000,0.0041
0.2400,-0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000000,0.0102,0.000,0.0000,0.0000,0.0076,0.000,0.0041,0.0000,0.0041,0.0041
0.2600,-0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000000,0.0102,0.000,-0.0000,0.0000,0.0077,0.000,0.0041,0.0000,0.0041,0.0000
0.2800,-0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000000,0.0102,0.000,-0.0000,0.0000,0.0078,0.000,0.0041,0.0000,0.0041,0.0000
0.3000,-0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000000,0.0102,0.000,-0.0000,0.0000,0.0078,0.000,0.0000,0.0000,0.0041,0.0000
0.3200,-0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000000,0.0102,0.000,-0.0000,0.0000,0.0078,0.000,0.0041,0.0000,0.0041,0.0000
0.3400,-0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000000,0.0102,0.000,-0.0000,0.0000,0.0079,0.000,0.0000,0.0041,0.0000,0.0041
0.3600,-0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000000,0.0102,0.000,0.0000,0.0000,0.0079,0.000,0.0000,0.0000,0.0041,0.0041
0.3800,-0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000000,0.0102,0.000,-0.0000,0.0000,0.0079,0.000,0.0041,0.0000,0.0041,0.0041
0.4000,-0.00000,0.00000,0.01019,1.000000,0.000000,-0.000000,0.000000,0.0102,0.000,-0.0000,0.0000,0.0079,0.000,0.0000,0.0041,0.0041,0.0041
0.4200,0.00000,-0.00000,0.01020,1.000000,0.000000,0.000000,0.000000,0.0102,0.000,-0.0000,0.0000,0.0079,0.000,0.7858,0.7858,0.7858,0.7858
0.4400,0.00000,-0.00000,0.01023,1.000000,0.000002,0.000000,0.000000,0.0102,0.000,-0.0001,0.0000,0.0080,0.000,0.7864,0.7864,0.7864,0.7864
0.4600,0.00000,-0.00000,0.01063,1.000000,0.000025,0.000001,0.000003,0.0105,0.000,-0.0003,0.0000,0.0083,0.000,0.7782,0.7782,0.7781,0.7781
0.4800,0.00000,-0.00000,0.01199,1.000000,0.000055,0.000003,0.000006,0.0118,0.000,-0.0003,0.0000,0.0096,0.000,0.7635,0.7635,0.7635,0.7634
0.5000,0.00000,-0.00000,0.01446,1.000000,0.000077,0.000004,0.000008,0.0141,0.020,-0.0002,0.0000,0.0119,0.000,0.7477,0.7476,0.7476,0.7476
0.5200,0.00000,-0.00000,0.01801,1.000000,0.000088,0.000005,0.000010,0.0175,0.020,-0.0002,0.0000,0.0153,0.000,0.7327,0.7327,0.7327,0.7327
0.5400,0.00000,-0.00001,0.02252,1.000000,0.000091,0.000005,0.000012,0.0219,0.000,-0.0001,0.0000,0.0196,0.000,0.7196,0.7195,0.7195,0.7195
0.5600,0.00000,-0.00001,0.02786,1.000000,0.000089,0.000005,0.000012,0.0271,0.000,-0.0001,0.0000,0.0247,0.000,0.7082,0.7082,0.7082,0.7082
0.5800,0.00000,-0.00001,0.03388,1.000000,0.000082,0.000005,0.000013,0.0331,0.000,-0.0000,0.0000,0.0306,0.000,0.6986,0.6986,0.6986,0.6986
0.6000,0.00000,-0.00002,0.04049,1.000000,0.000075,0.000004,0.000013,0.0396,0.000,-0.0000,0.0000,0.0370,0.000,0.6905,0.6905,0.6905,0.6905
0.6200,0.00000,-0.00002,0.04757,1.000000,0.000067,0.000004,0.000013,0.0467,0.020,-0.0000,0.0000,0.0439,0.000,0.6838,0.6838,0.6838,0.6838
0.6400,0.00000,-0.00003,0.05505,1.000000,0.000058,0.000003,0.000013,0.0541,0.020,-0.0000,0.0000,0.0513,0.000,0.6782,0.6782,0.6782,0.6782
0.6600,0.00000,-0.00004,0.06286,1.000000,0.000051,0.000003,0.000013,0.0619,0.020,-0.0000,0.0000,0.0590,0.000,0.6735,0.6735,0.6735,0.6735
0.6800,0.00000,-0.00004,0.07093,1.000000,0.000044,0.000003,0.000013,0.0699,0.020,0.0000,0.0000,0.0670,0.000,0.6696,0.6696,0.6696,0.6696
0.7000,0.00000,-0.00005,0.07923,1.000000,0.000037,0.000002,0.000013,0.0782,0.020,0.0000,0.0000,0.0752,0.000,0.6664,0.6664,0.6664,0.6664
0.7200,0.00000,-0.00006,0.08771,1.000000,0.000031,0.000002,0.000013,0.0866,0.020,0.0000,0.0000,0.0836,0.000,0.6637,0.6637,0.6637,0.6637
0.7400,0.00000,-0.00007,0.09634,1.000000,0.000025,0.000001,0.000013,0.0953,0.020,0.0000,0.0000,0.0922,0.000,0.6615,0.6615,0.6615,0.6615
0.7600,0.00000,-0.00007,0.10508,1.000000,0.000020,0.000001,0.000013,0.1040,0.020,0.0000,0.0000,0.1009,0.000,0.6596,0.6596,0.6596,0.6596
0.7800,0.00000,-0.00008,0.11393,1.000000,0.000015,0.000001,0.000013,0.1128,0.020,0.0000,0.0000,0.1097,0.000,0.6581,0.6581,0.6581,0.6581
0.8000,0.00001,-0.00009,0.12286,1.000000,0.000011,0.000001,0.000013,0.1217,0.020,0.0000,0.0000,0.1186,0.000,0.6568,0.6568,0.6568,0.6568
0.8200,0.00001,-0.00010,0.13185,1.000000,0.000007,0.000000,0.000013,0.1307,0.000,0.0000,0.0000,0.1275,0.000,0.6558,0.6558,0.6558,0.6558
0.8400,0.00001,-0.00011,0.14089,1.000000,0.000003,0.000000,0.000013,0.1398,0.000,0.0000,0.0000,0.1366,0.000,0.6549,0.6549,0.6549,0.6549
0.8600,0.00001,-0.00012,0.14998,1.000000,-0.000000,0.000000,0.000013,0.1488,0.000,0.0000,0.0000,0.1456,0.000,0.6542,0.6542,0.6542,0.6542
0.8800,0.00001,-0.00013,0.15910,1.000000,-0.000003,-0.000000,0.000013,0.1580,0.000,0.0000,0.0000,0.1548,0.000,0.6536,0.6536,0.6536,0.6536
0.9000,0.00001,-0.00013,0.16824,1.000000,-0.000006,-0.000000,0.000013,0.1671,0.000,0.0000,0.0000,0.1639,0.000,0.6532,0.6532,0.6532,0.6532
